COUNTRY_NAME,REGION,COUNTRY_CODE,REGION_CODE
Tuvalu,Oceania And Antarctica,1511,7
Uganda,Sub-Saharan Africa,9228,12
Ukraine,Southern And Eastern Europe,3312,11
United Arab Emirates,North Africa And The Middle East,4216,3
United Kingdom,North West Europe,2100,4
United States,Northern America,8104,6
United States Minor Outlying Islands,Northern America,1599,6
Uruguay,South America,8215,8
Uzbekistan,Southern And Central Asia,7211,10
Vanuatu,Oceania And Antarctica,1304,7
Venezuela,South America,8216,8
Viet Nam,South-East Asia,5105,9
"Virgin Islands, British",Caribbean,8427,1
"Virgin Islands, U.S.",Caribbean,8428,1
Wallis And Futuna,Oceania And Antarctica,1512,7
Western Sahara,North Africa And The Middle East,4107,3
Yemen,North Africa And The Middle East,4217,3
Yugoslavia,Southern And Eastern Europe,3213,11
Zambia,Sub-Saharan Africa,9231,12
Zimbabwe,Sub-Saharan Africa,9232,12
