year,cumunique_female,annunique_female,cumunique_male,annunique_male,cumunique_all,annunique_all,migrationrate,migrationrate_lower,migrationrate_upper,propstay,propstay_lower,propstay_upper,deathrate,deathrate_lower,deathrate_upper
2001,0.958832054,0.988714667,0.88124916,0.948378213,0.876951732,0.946936007,0.002455322,0,0.004910644,0.983192232,0.966384465,1,0.021806428,0.01993457,0.023808213
2002,0.957048143,0.925857873,0.884913493,0.985866124,0.880967727,0.987163813,0.002502877,0,0.005005753,0.982805177,0.965610354,1,0.019012585,0.017361783,0.020778297
2003,0.95636056,0.943236682,0.886213454,0.922386622,0.883000104,0.937698982,0.002729085,0,0.005458171,0.982524473,0.965048947,1,0.017005611,0.015521723,0.01859118
2004,0.957973845,0.981265647,0.889618804,0.987658395,0.886793442,0.988411921,0.003085403,0,0.006170806,0.982133934,0.964267867,1,0.009373458,0.005816384,0.0148931
2005,0.958441713,0.96787547,0.892383989,0.966333851,0.888881576,0.943348141,0.003170611,0,0.006341222,0.981948208,0.963896415,1,0.012776413,0.008534163,0.018945426
2006,0.958709505,0.962339571,0.896945073,1.025678378,0.89331916,1.008783525,0.003364433,0,0.006728866,0.981402609,0.962805218,1,0.013506995,0.009163864,0.019735702
2007,0.960845651,0.99482564,0.899714673,0.976231294,0.89647942,0.978873832,0.003567262,0,0.007134523,0.980755698,0.961511396,1,0.012428298,0.008301265,0.018431016
2008,0.960241839,0.950519229,0.898903204,0.87452751,0.895957127,0.881318056,0.003697681,0,0.007395361,0.980188444,0.960376889,1,0.010466223,0.006732502,0.016081523
2009,0.962257101,0.996259575,0.902689122,1.013347477,0.899767835,1.004624341,0.00378265,0,0.0075653,0.979519045,0.95903809,1,0.007730787,0.004657616,0.0126246
2010,0.962503615,0.966581048,0.907946697,1.070028263,0.904574422,1.042409721,0.003977906,0,0.007955812,0.978830452,0.957660904,1,0.01104503,0.00737603,0.016385969
2011,0.963459417,0.981946983,0.91040294,0.981035194,0.908589336,1.019248869,0.003906798,0,0.007813596,0.978438883,0.956877767,1,0.009406953,0.006112871,0.014320791
2012,0.962316619,0.941493859,0.91157515,0.943501324,0.91120104,0.979289664,0.003889345,0,0.007778691,0.977961089,0.955922178,1,0.006674519,0.004020638,0.010903989
2013,0.964643349,1.008556875,0.911023567,0.895204189,0.912274922,0.941671926,0.00394525,0,0.0078905,0.977455182,0.954910364,1,0.008274232,0.005262416,0.012853565
2014,0.966355894,0.996568116,0.911083753,0.912761454,0.913061063,0.93385031,0.003569947,0,0.007139894,0.97693786,0.953875719,1,0.011336032,0.007688875,0.016573158
2015,0.968758694,1.018030234,0.913174363,0.9774495,0.915411108,0.984392719,0.00372884,0,0.00745768,0.976419299,0.952838599,1,0.005020921,0.002722647,0.009020662
2016,0.968198546,0.955935659,0.915482602,0.987556762,0.918133578,0.999790496,0.003946996,0,0.007893992,0.975738289,0.951476578,1,0.007783695,0.004828848,0.012373991
2017,0.967408491,0.950344198,0.921994929,1.136738033,0.923787664,1.101129801,0.003734397,0,0.007468794,0.975140063,0.950280125,1,0.010539116,0.007037718,0.015637622
2018,0.967331104,0.965321039,0.922193756,0.929619513,0.92412631,0.93624958,0.003399329,0,0.006798658,0.974454659,0.948909318,1,0.008354219,0.005250421,0.013121433
2019,0.970352408,1.040077408,0.924889948,1.020008148,0.927139488,1.028112509,0.00327541,0,0.00655082,0.97363747,0.94727494,1,0.007940009,0.004857455,0.012785257
2020,0.969474493,0.946826379,0.93072774,1.216519949,0.9362512,1.345200095,0.001657778,0,0.003315555,0.993027626,0.986055253,1,0.006786234,0.003866004,0.011661175
2021,0.97216296,1.068990754,0.933256521,1.094128716,0.937357274,1.002585845,0.002046438,0,0.004092877,0.99287607,0.98575214,1,0.011229646,0.007060333,0.017620766
2022,0.972644163,0.985897312,0.931810196,0.852692267,0.937781075,0.958810657,0.00327541,0,0.00655082,0.983811484,0.967622968,1,0.009688581,0.005521785,0.016627695
