"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
2006,1.1910726924628,1.20850843379948,0.968043442449677,1.15807400197872,0.898159867501858,1.00572572031561,1.49640146477183,1.07696219112481,0.569444796019269,0.417954108665472,1.34762962405006,1,0.999746043767629,1.0124438553862,0.990173254025228,0.979937060301508,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991289301229659,0.988800530152419,0.993778072306899,1.0244072841591,0.687613964397303,0.575899932080598,0.312883085972,0.970362029903374,1.73680409663866,1.4287669796826,2.06906375962321,1.38390865606845,0.00636149359430337,0.027820555731786
2007,1.18727974500945,1.20500736661072,0.967854349282242,1.14321651750025,0.905585904783671,1.00630862825756,1.50717143165826,1.09820462067877,0.573318051283624,0.416647578703394,1.34472059033055,1,0.999741623012777,1.01266047237393,0.989707981379863,0.978987128650554,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991137669338251,0.988605574863466,0.993669763813036,1.02485311779651,0.692094217852854,0.686296337526439,0.418241191745993,1.05490205975729,0.450789704591986,0.174433971558275,0.960621255044222,2.10956862824467,0.0126827963025256,0.0395790787630294
2008,1.18402218449161,1.20150629942196,0.967665256114808,1.12873709684149,0.912822978986032,1.00687670351344,1.51766734577181,1.11890651498477,0.577092747624224,0.415374294726445,1.34188557993588,1,0.999737182950722,1.0128780354146,0.989269615038591,0.97809213070379,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990985375209782,0.988409768126862,0.993560982292701,1.02451538371717,0.696096877100944,0.775842339478703,0.490915709150001,1.1513269562711,0.70846394984326,0.353199976044834,1.25706743246928,2.06419411702689,0.0092655301558775,0.0343014106609738
2009,1.17973611821552,1.1980052322332,0.967476162947373,1.11462149096483,0.919878212033538,1.0074305051198,1.52789953602538,1.1390882465478,0.580772599677947,0.414133003709956,1.33912180296367,1,0.999730104301193,1.01322488924155,0.988597832664063,0.976720575022462,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990742577530913,0.988097599682603,0.993387555379224,1.0256892553644,0.701182154337162,1.4568676105678,1.18220593539209,1.74868600384186,0.207425418498083,0.0179732664870242,0.819681931474357,1.10495608808008,0.000598528057713151,0.0138304749253338
2010,1.17596482161785,1.19450416504444,0.967287069779939,1.10085615800063,0.926758372395604,1.00797056436873,1.5378778187165,1.15876917680235,0.584361137727335,0.412922514815839,1.33642660797214,1,0.999724734078117,1.01348803017228,0.987996677690382,0.975493216951196,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990558378879407,0.987860772844952,0.993255984913862,1.02610994638323,0.705812316950906,0.70957264957265,0.466168691834387,1.02736714797304,1.0909509026101,0.761035170794987,1.50018240207382,1.66569648727775,0.00619206263219636,0.0270875619082245
2011,1.17236894069847,1.19100309785568,0.967097976612504,1.0874282199146,0.933469896744787,1.00849738650781,1.54761152893838,1.17796771806693,0.587861718997104,0.411741695582021,1.33379747349569,1,0.999719185486801,1.01375991114676,0.987532344257546,0.974545202859156,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990368062197266,0.987616079967914,0.993120044426619,1.02625776546564,0.710311299464035,0.619335347432024,0.363099177369061,0.973342147864536,1.84407796101949,1.49458945662313,2.21875458549578,1.63282231212698,0.00312409184271904,0.0208517118635919
2012,1.16876431337855,1.18750203066692,0.966908883445069,1.07432542232297,0.940018910041915,1.00901145231679,1.55710954970937,1.19670139099812,0.591277538130083,0.410589468388693,1.33123200017689,1,0.999708784161741,1.01426957607468,0.987007934352448,0.973474532636248,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990011296747726,0.98715738153279,0.992865211962661,1.02640421936364,0.714865732945843,1.05447927674064,0.76790801084676,1.38726226441414,0.817002308365836,0.434825858896377,1.36679187230168,1.91047114560898,0.00309780475626883,0.0206778899283665
2013,1.16518201648996,1.18400096347816,0.966719790277635,1.06153609719188,0.946411244179662,1.00951321957098,1.56638033901163,1.21498687792114,0.594611636911294,0.409464807178194,1.32872790346322,1,0.999703720358861,1.01451770241579,0.986503496793187,0.97244463928609,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.989837608308946,0.986934067825788,0.992741148792104,1.02654192228572,0.719471490247914,0.647611788617886,0.379694308854382,1.01764007000471,1.18009259259259,0.824056452411586,1.61192178805311,1.89103990430249,0.00416888855073817,0.0233082614664823
2014,1.16156103612116,1.18049989628941,0.9665306971102,1.04904912818216,0.952652455303756,1.01000312440091,1.57543195491211,1.23284007237786,0.597866913302321,0.408366734407505,1.32628300682164,1,0.999695198358135,1.01493528045138,0.986017079277161,0.971451536857537,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.989545303684036,0.98655824759376,0.992532359774311,1.0267280775571,0.724169895300536,0.677060306379678,0.441253447834264,0.987946636419852,1.47989912475894,1.19414578679407,1.79601290812292,1.48721913297784,0.00424138392522531,0.0237094595946135
2015,1.15802140552221,1.17699882910065,0.966341603942766,1.03685391842331,0.958747839920171,1.01048158255662,1.58427207892274,1.25027612520184,0.601046129842426,0.407294318214383,1.32389523542895,1,0.999683776419552,1.01549495544197,0.985439401519847,0.970272111436354,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.989153531190623,0.986054540102229,0.992252522279016,1.02678927992184,0.728839636514654,1.30096566523605,0.976268736247212,1.65351319679958,0.562123319425127,0.179609729477307,1.25448225571681,1.60513449615771,0.000617739584172883,0.0142708919568417
2016,1.1545485398075,1.17349776191189,0.966152510775331,1.02494036052039,0.964702449886236,1.01094899058444,1.592908037742,1.267309487401,0.604151921467621,0.40624666977984,1.32156261029924,1,0.999669471312754,1.01619590567505,0.984843211365514,0.969054889871258,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.988662866027468,0.985423684892459,0.991902047162477,1.02635684072248,0.733216774340962,0.406133880539072,0.16914656991078,0.810324837914855,1.58175534595723,1.24671874309475,1.9490127223903,1.60003727152163,0.00232804827488645,0.0197988474850181
2017,1.15103313636974,1.16999669472313,0.965963417607897,1.01329880861511,0.970521106374965,1.01140572692308,1.6013468235074,1.28395395010295,0.607186802794118,0.405222940871263,1.31928324281351,1,0.999664246679759,1.01645191269183,0.984289591268262,0.967924582172702,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.988483661115716,0.985193278577349,0.991774043654083,1.02591917600494,0.737646804720259,0.847151142954623,0.601125675855728,1.14842081745443,0.70188828584351,0.394250006965189,1.14658546128147,1.8285708151277,0.00546865206401025,0.0266643540460343
2018,1.14760957985918,1.16649562753437,0.965774324440462,1.00192005233914,0.976208412893667,1.01185215292556,1.60959511267629,1.30022268179534,0.610153174908558,0.404222321551936,1.31705532961994,1,0.999658774751926,1.01672003715564,0.983657924620284,0.966634929433081,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.988295973991053,0.984951966559926,0.991639981422181,1.02547619047713,0.742130692196504,0.948107309309992,0.670456823566088,1.28137143412662,1.0510144075272,0.689571143272411,1.50741286001408,1.78309038509609,0.00338863802744923,0.0225994807008076
2019,1.14413606947844,1.16299456034561,0.965585231273028,0.990795292511597,0.981768767430826,1.01228861381267,1.61765928364249,1.31612826307216,0.61305333170355,0.40324403804394,1.31487714787548,1,0.999657087061139,1.01680273400418,0.982975044068339,0.965240714972858,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.988238086197076,0.984877539396241,0.991598632997912,1.02502778651581,0.746669424909534,1.00296134663342,0.688999972231868,1.37991996881781,1.00496626686657,0.625242345973497,1.49248523971587,1.06277112809148,0.00010654011411639,0.0131462646174497
