"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_nswaus","pstay_nswaus_lower","pstay_nswaus_upper","pstay_nswos","pstay_nswos_lower","pstay_nswos_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1990,1.25255218670757,1.26452550881962,0.97106893312863,1.57366878280435,0.713827777360545,0.982767378815103,1.75908354614571,0.416834560322774,0.431599555059243,0.397518381423905,1.41106404674453,1,0.9998888113938,1.00544824170381,0.991362505090728,0.982365114560237,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99591381872214,0.994551758296186,0.997275879148093,1.02227413501419,0.625703351092046,1,1,1,1,1,1,1,0.0721330601524974,0.0785300482782913
1991,1.24865309997595,1.26102444163086,0.970879839961195,1.53688557911628,0.730196490778309,0.984830230344829,1.7379993996796,0.475090181473123,0.443599913386247,0.399038417608132,1.40493717766412,1,0.999884411285662,1.00566384700257,0.990996928371105,0.981618728757673,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.995752114748069,0.994336152997426,0.997168076498713,1.02255310285463,0.629340905252724,1,1,1,1,1,1,1,0.075652218339269,0.082876138348722
1992,1.24459718955012,1.2575233744421,0.97069074679376,1.5021735132483,0.745643537293071,0.986776929680283,1.71810243020657,0.530065625583389,0.454924572114142,0.400472865694703,1.39915529186408,1,0.999881755572269,1.00579397695884,0.990662519705168,0.980935977731385,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.995654517280873,0.994206023041164,0.997103011520582,1.02298587024575,0.633114166509314,1,1,1,1,1,1,1,0.0775086004239372,0.0855030678487066
1993,1.24079899870233,1.25402230725334,0.970501653626326,1.46936244700284,0.760244629271286,0.988617018400405,1.69929511444651,0.582030350052283,0.465629038081149,0.401828756507235,1.39369004992977,1,0.999873137751898,1.00621625015698,0.990411024222773,0.980422507788162,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.995337812382268,0.993783749843024,0.996891874921512,1.02315144903061,0.63676341114676,1,1,1,1,1,1,1,0.0857392849917636,0.0952607675094484
1994,1.23678111721779,1.25052124006458,0.970312560458891,1.43830038067814,0.774067407356208,0.990359020852869,1.68149032611204,0.631225085326111,0.475762900521038,0.403112371310626,1.38851613372191,1,0.9998591876451,1.0068998053901,0.99015832676436,0.979906583810568,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.994825145957422,0.993100194609896,0.996550097304948,1.0236693700662,0.64067428343109,1,1,1,1,1,1,1,0.0923883603559562,0.103565466892731
1995,1.23302983182483,1.24702017287582,0.970123467291457,1.40885109863049,0.787172488204636,0.992010576194166,1.66460998634392,0.677865563753849,0.48537059918811,0.404329339106347,1.38361085420498,1,0.999850594088088,1.00732088968369,0.989714777477256,0.979001004016064,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99450933273723,0.992679110316307,0.996339555158154,1.02381101942729,0.644392635591195,1,1,1,1,1,1,1,0.0816534548824034,0.092462008629874
1996,1.22926457069674,1.24351910568707,0.969934374124022,1.3808921722934,0.799614353153679,0.993578550382958,1.6485839190409,0.722145682317639,0.494492075863411,0.405484719156024,1.37895381881599,1,0.999843715405754,1.00765794511806,0.98908332543369,0.977711789427118,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.994256541161455,0.99234205488194,0.99617102744097,1.02400444270275,0.648186126536744,1,1,1,1,1,1,1,0.0657302667854426,0.0750858884546952
1997,1.22537169471381,1.24001803849831,0.969745280956588,1.3543132589011,0.81144210529739,0.995069131589926,1.63334887568726,0.764240197039584,0.503163329388649,0.406583071285333,1.37452664808787,1,0.999837791131126,1.00794823457482,0.988440501756493,0.976399357752841,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.994038824068885,0.99205176542518,0.99602588271259,1.0244706515025,0.652196747837092,1,1,1,1,1,1,1,0.0342318040065208,0.0393842750844646
1998,1.22133604939699,1.23651697130955,0.969556187789153,1.32901464606255,0.822700117158798,0.996487911820063,1.61884770110223,0.804307028021722,0.5114168904926,0.407628516028299,1.37031273322357,1,0.999817685872759,1.00893339223482,0.987832480142316,0.975157980290562,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.993299955823885,0.991066607765179,0.99553330388259,1.02510574665264,0.656361727911794,1,1,1,1,1,1,1,0.0242533760319182,0.0279973452838631
1999,1.21760004389623,1.23301590412079,0.969367094621719,1.30490600171152,0.833428586968543,0.997839957017135,1.6050286169108,0.842489239219857,0.519282229614338,0.40862478628461,1.36629702787888,1,0.999814189712304,1.00910470409712,0.987313448661496,0.974098291017221,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.993171471927162,0.990895295902883,0.995447647951442,1.02126663607021,0.657693609009669,1,1,1,1,1,1,1,0.0213040505994341,0.024648979649616
