"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1990,1.25255118759858,1.26452550881962,0.97106893312863,1.4624832789616,0.746010649841172,0.993782744005488,1.27573976138755,0.64173423371018,0.490087160727711,0.444723097836495,1.407231695488,1,0.999887108079692,1.00553170409511,1.00970064738109,1.01980548840306,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.996127807133421,0.995021466314399,0.997234147952444,1.02227413501419,0.625703351092046,1,1,1,1,1,1,1,0.0730779077209496,0.079567882015687
1991,1.2486503424141,1.26102444163086,0.970879839961195,1.4388246783685,0.75783564284685,0.994710948655537,1.29288952488458,0.675560024150857,0.496254813093579,0.442642619773031,1.40259943980694,1,0.999882875672526,1.00573909204621,1.00940095181896,1.0191936099637,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.995982635567655,0.994834817158414,0.997130453976896,1.02255310285463,0.629340905252724,1,1,1,1,1,1,1,0.0766255238038934,0.0839546511671191
1992,1.24459367413405,1.2575233744421,0.97069074679376,1.41592197067004,0.76928282702327,0.995609497143261,1.30949135299885,0.708305079720992,0.50222540880846,0.440628613036957,1.39811518481348,1,0.99988034032861,1.0058633238981,1.00911812667305,1.01861617529081,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.99589567327133,0.99472300849171,0.99706833805095,1.02298587024575,0.633114166509314,1,1,1,1,1,1,1,0.0786172738940132,0.0867427007874491
1993,1.2407973248658,1.25402230725334,0.970501653626326,1.39373949928455,0.780370024169602,0.996479788393516,1.32557109264971,0.740020380276869,0.508008243324944,0.438677942077811,1.3937719490971,1,0.999870542363409,1.00634342419294,1.00886895328827,1.01810744629689,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.995559603064942,0.994290918226354,0.99682828790353,1.02315144903061,0.63676341114676,1,1,1,1,1,1,1,0.0868508651871447,0.0965260382515968
1994,1.23677948566488,1.25052124006458,0.970312560458891,1.37224381554487,0.79111395252977,0.997323134707462,1.34115299027262,0.770753748917877,0.513612036505836,0.436787665503607,1.38956318354779,1,0.99985674680419,1.0070194065947,1.00854848549946,1.01745315789474,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.995086415383708,0.993682534064767,0.996490296702649,1.0236693700662,0.64067428343109,1,1,1,1,1,1,1,0.0937200715408779,0.105099542021593
1995,1.23302825908119,1.24702017287582,0.970123467291457,1.35140351040635,0.801530310907756,0.998140768365128,1.35625981381129,0.800550092601084,0.519044976496822,0.434955021281646,1.38548273840509,1,0.999848279166334,1.00743432084964,1.00824070169693,1.01682476596456,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.994795975405254,0.993309111235327,0.996282839575182,1.02381101942729,0.644392635591195,1,1,1,1,1,1,1,0.0828852749174998,0.0939050324472832
1996,1.22926076095359,1.24351910568707,0.969934374124022,1.33118906131695,0.811633855204681,0.998933847633235,1.37091296371937,0.829451621078258,0.52431475964652,0.433177413272665,1.38152483327603,1,0.999841485777691,1.00776719689312,1.00771136626753,1.01574403946287,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.994562962174815,0.993009522796191,0.996116401553439,1.02400444270275,0.648186126536744,1,1,1,1,1,1,1,0.066746752556221,0.0762949163509377
1997,1.22536944592772,1.24001803849831,0.969745280956588,1.31157269267912,0.821438468162511,0.99970346223978,1.3851325741095,0.857498046399966,0.529428626883204,0.431452398960207,1.37768402981401,1,0.999835669666909,1.00805218632148,1.00704478183039,1.01438309623705,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.994363469574967,0.992753032310672,0.995973906839262,1.0244706515025,0.652196747837092,1,1,1,1,1,1,1,0.0347666657611138,0.0400278956401172
1998,1.22133530193653,1.23651697130955,0.969556187789153,1.29252824851659,0.830957223007404,1.00045063836965,1.39893760505521,0.884726764969604,0.534393396909794,0.429777678253245,1.37395520678759,1,0.999815655275365,1.00903289150712,1.00638028262984,1.01302641036925,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993676975945017,0.991870397643594,0.995483554246441,1.02510574665264,0.656361727911794,1,1,1,1,1,1,1,0.0246224478991931,0.0284429190319739
1999,1.21760077669369,1.23301590412079,0.969367094621719,1.27403107611851,0.840202441606509,1.00117634322971,1.41234592693556,0.911173023902819,0.539215496537113,0.428151083254148,1.37033353729842,1,0.999812245285082,1.00919998103097,1.00584349780669,1.01193047468866,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993560013278323,0.99172001707213,0.995400009484517,1.02126663607021,0.657693609009669,1,1,1,1,1,1,1,0.0214946475289277,0.0248846204884009
