"year","stage","value","lower","upper"
2007,"diagnoses_exclude",106,0,0
2008,"diagnoses_exclude",111,0,0
2009,"diagnoses_exclude",117,0,0
2010,"diagnoses_exclude",110,0,0
2011,"diagnoses_exclude",101,0,0
2012,"diagnoses_exclude",105,0,0
2013,"diagnoses_exclude",106,0,0
2014,"diagnoses_exclude",102,0,0
2015,"diagnoses_exclude",108,0,0
2016,"diagnoses_exclude",88,0,0
2017,"diagnoses_exclude",107,0,0
2018,"diagnoses_exclude",81,0,0
2019,"diagnoses_exclude",94,0,0
2020,"diagnoses_exclude",78,0,0
2021,"diagnoses_exclude",61,0,0
2022,"diagnoses_exclude",85,0,0
2023,"diagnoses_exclude",96,0,0
2004,"diagnoses_include",126,0,0
2005,"diagnoses_include",97,0,0
2006,"diagnoses_include",151,0,0
2007,"diagnoses_include",139,0,0
2008,"diagnoses_include",146,0,0
2009,"diagnoses_include",146,0,0
2010,"diagnoses_include",156,0,0
2011,"diagnoses_include",145,0,0
2012,"diagnoses_include",161,0,0
2013,"diagnoses_include",162,0,0
2014,"diagnoses_include",183,0,0
2015,"diagnoses_include",168,0,0
2016,"diagnoses_include",161,0,0
2017,"diagnoses_include",167,0,0
2018,"diagnoses_include",150,0,0
2019,"diagnoses_include",170,0,0
2020,"diagnoses_include",159,0,0
2021,"diagnoses_include",115,0,0
2022,"diagnoses_include",156,0,0
2023,"diagnoses_include",206,0,0
2004,"diagnoses_os",9,0,0
2005,"diagnoses_os",4,0,0
2006,"diagnoses_os",14,0,0
2007,"diagnoses_os",33,0,0
2008,"diagnoses_os",35,0,0
2009,"diagnoses_os",29,0,0
2010,"diagnoses_os",46,0,0
2011,"diagnoses_os",44,0,0
2012,"diagnoses_os",56,0,0
2013,"diagnoses_os",56,0,0
2014,"diagnoses_os",81,0,0
2015,"diagnoses_os",60,0,0
2016,"diagnoses_os",73,0,0
2017,"diagnoses_os",60,0,0
2018,"diagnoses_os",69,0,0
2019,"diagnoses_os",76,0,0
2020,"diagnoses_os",81,0,0
2021,"diagnoses_os",54,0,0
2022,"diagnoses_os",71,0,0
2023,"diagnoses_os",110,0,0
2004,"infections",104,98,110
2005,"infections",105,99,112
2006,"infections",106,99,113
2007,"infections",106,100,114
2008,"infections",106,100,115
2009,"infections",105,99,115
2010,"infections",104,98,114
2011,"infections",103,96,111
2012,"infections",100,94,109
2013,"infections",98,91,106
2014,"infections",94,87,101
2015,"infections",90,81,98
2016,"infections",85,76,96
2017,"infections",80,69,91
2018,"infections",74,62,86
2019,"infections",68,54,81
2020,"infections",61,44,77
2021,"infections",53,32,74
2022,"infections",44,20,71
2023,"infections",35,7,68
2004,"propdiagnosed",0.7649025472088644,0,0
2005,"propdiagnosed",0.7743588176114058,0,0
2006,"propdiagnosed",0.7848776109155394,0,0
2007,"propdiagnosed",0.7973852445960746,0,0
2008,"propdiagnosed",0.809412990382534,0,0
2009,"propdiagnosed",0.820519057058342,0,0
2010,"propdiagnosed",0.8318233048412974,0,0
2011,"propdiagnosed",0.8428962403478585,0,0
2012,"propdiagnosed",0.8532129194584372,0,0
2013,"propdiagnosed",0.863028523073652,0,0
2014,"propdiagnosed",0.8721159755847924,0,0
2015,"propdiagnosed",0.8800610292595618,0,0
2016,"propdiagnosed",0.8874356654983566,0,0
2017,"propdiagnosed",0.8939010404805448,0,0
2018,"propdiagnosed",0.9006169974304149,0,0
2019,"propdiagnosed",0.9069591289267169,0,0
2020,"propdiagnosed",0.9126909191508877,0,0
2021,"propdiagnosed",0.9164729554002259,0,0
2022,"propdiagnosed",0.925981059596208,0,0
2023,"propdiagnosed",0.9429706809302615,0,0
2004,"proptreated",0.7514380154886163,0,0
2005,"proptreated",0.78814443559885206,0,0
2006,"proptreated",0.8072130449277265,0,0
2007,"proptreated",0.7843127814581253,0,0
2008,"proptreated",0.7485109056573436,0,0
2009,"proptreated",0.7456357665572488,0,0
2010,"proptreated",0.7952686845297864,0,0
2011,"proptreated",0.8229601233794465,0,0
2012,"proptreated",0.8528013041174375,0,0
2013,"proptreated",0.794331652021998,0,0
2014,"proptreated",0.7932555785707153,0,0
2015,"proptreated",0.8344161554162342,0,0
2016,"proptreated",0.851810402086149,0,0
2017,"proptreated",0.8746524115063519,0,0
2018,"proptreated",0.8716256884728986,0,0
2019,"proptreated",0.8910684649421304,0,0
2020,"proptreated",0.9117999329232925,0,0
2021,"proptreated",0.9101052343659566,0,0
2022,"proptreated",0.9083543921768494,0,0
2023,"proptreated",0.9409151332230026,0,0
2004,"propsuppressed",0.5490196078431377,0,0
2005,"propsuppressed",0.581632653061225,0,0
2006,"propsuppressed",0.6826923076923104,0,0
2007,"propsuppressed",0.7314814814814806,0,0
2008,"propsuppressed",0.7889908256880763,0,0
2009,"propsuppressed",0.7757009345794375,0,0
2010,"propsuppressed",0.8333333333333345,0,0
2011,"propsuppressed",0.7835820895522424,0,0
2012,"propsuppressed",0.8471337579617815,0,0
2013,"propsuppressed",0.8882352941176461,0,0
2014,"propsuppressed",0.9277108433734945,0,0
2015,"propsuppressed",0.9358974358974346,0,0
2016,"propsuppressed",0.9393939393939431,0,0
2017,"propsuppressed",0.9777777777777783,0,0
2018,"propsuppressed",0.9715909090909096,0,0
2019,"propsuppressed",0.9633507853403139,0,0
2020,"propsuppressed",0.9793103448275838,0,0
2021,"propsuppressed",0.9732142857142859,0,0
2022,"propsuppressed",0.9851851851851863,0,0
2023,"propsuppressed",0.9674796747967479,0,0
2004,"propoverall",0.31556376194648783,0,0
2005,"propoverall",0.3549742430170222,0,0
2006,"propoverall",0.43252889115763604,0,0
2007,"propoverall",0.4574681082179844,0,0
2008,"propoverall",0.4780136031326278,0,0
2009,"propoverall",0.4745803135982775,0,0
2010,"propoverall",0.5512691878352991,0,0
2011,"propoverall",0.5435473833211834,0,0
2012,"propoverall",0.6163923886861908,0,0
2013,"propoverall",0.6089127161397349,0,0
2014,"propoverall",0.6418004389768971,0,0
2015,"propoverall",0.687264246940364,0,0
2016,"propoverall",0.7101131776565506,0,0
2017,"propoverall",0.7644781962442494,0,0
2018,"propoverall",0.7626997482073941,0,0
2019,"propoverall",0.7785441512835003,0,0
2020,"propoverall",0.8149737632988244,0,0
2021,"propoverall",0.8117452222432109,0,0
2022,"propoverall",0.8286579408892815,0,0
2023,"propoverall",0.8584015502510001,0,0
2004,"ydf",0.23322963866784982,0.21259298022945802,0.25664333350252316
2005,"ydf",0.18809941777889105,0.1723764762030642,0.20582176877121253
2006,"ydf",0.24519370822605882,0.22620638765179663,0.2647135165796963
2007,"ydf",0.20671942188008272,0.19247822306481724,0.22406899593148535
2008,"ydf",0.20944404250220455,0.19320668035657276,0.2289467760616354
2009,"ydf",0.23649330416302353,0.21825213186788944,0.25599813719963954
2010,"ydf",0.21502891382126646,0.19564818709078444,0.23540809795576648
2011,"ydf",0.23367924339926555,0.21505460602126789,0.25553509571428085
2012,"ydf",0.22436963805377463,0.20277511380091498,0.24844009299775333
2013,"ydf",0.22606354808717916,0.2045487994178159,0.24907669386866982
2014,"ydf",0.517383299611439,0.48426292010038596,0.5494085263692303
2015,"ydf",0.5249705920720009,0.4922797194083646,0.5555294494358568
2016,"ydf",0.4825430687641455,0.4526670395532819,0.5124788708974342
2017,"ydf",0.5024438772369774,0.4724773517495135,0.5361048717871333
2018,"ydf",0.45453541824378274,0.4281645109705009,0.49232616062637324
2019,"ydf",0.4628362163969037,0.43520930637054583,0.5059445818967969
2020,"ydf",0.3720752478172873,0.33770515665568507,0.4213969809539975
2021,"ydf",0.2992574350670719,0.25648374670264923,0.35841885161808923
2022,"ydf",0.35965538650694756,0.3022076373948486,0.45037702467328833
2023,"ydf",0.48234108506338463,0.3868094443727493,0.6456417061353398
2004,"cdr",1.099436139091025,1.0295494888156853,1.1798233806606193
2005,"cdr",0.832827350223141,0.7820769253350192,0.8869567893186656
2006,"cdr",1.191471274776672,1.1047953983271326,1.2704756947431595
2007,"cdr",0.9537250157130686,0.8872183492138771,1.0132514664004213
2008,"cdr",0.967420553194354,0.889290274106441,1.0301702533699602
2009,"cdr",1.133393754457841,1.0353404134488928,1.2071791289248617
2010,"cdr",0.9989242235097665,0.9019370460621225,1.0774856646960251
2011,"cdr",1.1058248695866162,1.0226427787613332,1.182088030546584
2012,"cdr",1.0513714463650161,0.9659960223854588,1.1295267593224736
2013,"cdr",1.0708848191555185,0.9882409013366747,1.1508020506824987
2014,"cdr",4.0095796307263605,3.7271001158848653,4.35583597585497
2015,"cdr",4.25196887941634,3.906622861485606,4.696706891845276
2016,"cdr",3.69952063052711,3.288820571043399,4.17049581934838
2017,"cdr",4.21826927681355,3.694919463873745,4.880702772681037
2018,"cdr",3.6761639937026906,3.165704487701522,4.400877441463333
2019,"cdr",4.1077910942115246,3.4179167318027748,5.161798326134259
2020,"cdr",3.0995000176737446,2.4487116370735302,4.30417248082909
2021,"cdr",2.527458177089032,1.8075479505776706,4.140147195827325
2022,"cdr",3.651789859067204,2.284998593526946,8.10290993889014
2023,"cdr",6.121805133576519,3.1905687610795073,31.36730668018111
2004,"ipr",0.07042822390873187,0.060912738616778934,0.08135983533042476
2005,"ipr",0.06576741524157231,0.056662667564030794,0.0764390133045673
2006,"ipr",0.06324872374802691,0.05435118338548302,0.07413147233619674
2007,"ipr",0.058868988824749786,0.050726891907129874,0.06927986614487468
2008,"ipr",0.055325112159995235,0.04766827796975746,0.06567071249244205
2009,"ipr",0.05190662009995597,0.04444785844494181,0.0622867587684947
2010,"ipr",0.04852238021742953,0.04130166600196095,0.058531450235015714
2011,"ipr",0.04536628897072067,0.038360179716725014,0.05456863928727806
2012,"ipr",0.042361580410070106,0.035630961312361015,0.05129396610923547
2013,"ipr",0.03923750568854454,0.03269450239315274,0.04780088919058211
2014,"ipr",0.036040850811363274,0.02960669832113025,0.04369738443660533
2015,"ipr",0.03272406268907263,0.026363380111342,0.040249036300746374
2016,"ipr",0.029566410413035447,0.023293444234304583,0.037649858796470724
2017,"ipr",0.02662920765900128,0.02048012775519248,0.034389122701087856
2018,"ipr",0.023540066103668076,0.017581390224851074,0.030840662931100375
2019,"ipr",0.020559451413804917,0.014795150286033286,0.027680311236833087
