"year","indicator","value"
2019,"propdiagnosed","90·7% (0‒0%)"
2020,"propdiagnosed","91·3% (0‒0%)"
2021,"propdiagnosed","91·6% (0‒0%)"
2022,"propdiagnosed","92·6% (0‒0%)"
2023,"propdiagnosed","94·3% (0‒0%)"
2004,"proptreated","75·1% (0‒0%)"
2005,"proptreated","78·8% (0‒0%)"
2006,"proptreated","80·7% (0‒0%)"
2007,"proptreated","78·4% (0‒0%)"
2008,"proptreated","74·9% (0‒0%)"
2009,"proptreated","74·6% (0‒0%)"
2010,"proptreated","79·5% (0‒0%)"
2011,"proptreated","82·3% (0‒0%)"
2012,"proptreated","85·3% (0‒0%)"
2013,"proptreated","79·4% (0‒0%)"
2014,"proptreated","79·3% (0‒0%)"
2015,"proptreated","83·4% (0‒0%)"
2016,"proptreated","85·2% (0‒0%)"
2017,"proptreated","87·5% (0‒0%)"
2018,"proptreated","87·2% (0‒0%)"
2019,"proptreated","89·1% (0‒0%)"
2020,"proptreated","91·2% (0‒0%)"
2021,"proptreated","91% (0‒0%)"
2022,"proptreated","90·8% (0‒0%)"
2023,"proptreated","94·1% (0‒0%)"
2004,"propsuppressed","54·9% (0‒0%)"
2005,"propsuppressed","58·2% (0‒0%)"
2006,"propsuppressed","68·3% (0‒0%)"
2007,"propsuppressed","73·1% (0‒0%)"
2008,"propsuppressed","78·9% (0‒0%)"
2009,"propsuppressed","77·6% (0‒0%)"
2010,"propsuppressed","83·3% (0‒0%)"
2011,"propsuppressed","78·4% (0‒0%)"
2012,"propsuppressed","84·7% (0‒0%)"
2013,"propsuppressed","88·8% (0‒0%)"
2014,"propsuppressed","92·8% (0‒0%)"
2015,"propsuppressed","93·6% (0‒0%)"
2016,"propsuppressed","93·9% (0‒0%)"
2017,"propsuppressed","97·8% (0‒0%)"
2018,"propsuppressed","97·2% (0‒0%)"
2019,"propsuppressed","96·3% (0‒0%)"
2020,"propsuppressed","97·9% (0‒0%)"
2021,"propsuppressed","97·3% (0‒0%)"
2022,"propsuppressed","98·5% (0‒0%)"
2023,"propsuppressed","96·7% (0‒0%)"
2004,"propoverall","31·6% (0‒0%)"
2005,"propoverall","35·5% (0‒0%)"
2006,"propoverall","43·3% (0‒0%)"
2007,"propoverall","45·7% (0‒0%)"
2008,"propoverall","47·8% (0‒0%)"
2009,"propoverall","47·5% (0‒0%)"
2010,"propoverall","55·1% (0‒0%)"
2011,"propoverall","54·4% (0‒0%)"
2012,"propoverall","61·6% (0‒0%)"
2013,"propoverall","60·9% (0‒0%)"
2014,"propoverall","64·2% (0‒0%)"
2015,"propoverall","68·7% (0‒0%)"
2016,"propoverall","71% (0‒0%)"
2017,"propoverall","76·4% (0‒0%)"
2018,"propoverall","76·3% (0‒0%)"
2019,"propoverall","77·9% (0‒0%)"
2020,"propoverall","81·5% (0‒0%)"
2021,"propoverall","81·2% (0‒0%)"
2022,"propoverall","82·9% (0‒0%)"
2023,"propoverall","85·8% (0‒0%)"
2004,"ydf","0·23 (0·21‒0·26)"
2005,"ydf","0·19 (0·17‒0·21)"
2006,"ydf","0·25 (0·23‒0·26)"
2007,"ydf","0·21 (0·19‒0·22)"
2008,"ydf","0·21 (0·19‒0·23)"
2009,"ydf","0·24 (0·22‒0·26)"
2010,"ydf","0·22 (0·2‒0·24)"
2011,"ydf","0·23 (0·22‒0·26)"
2012,"ydf","0·22 (0·2‒0·25)"
2013,"ydf","0·23 (0·2‒0·25)"
2014,"ydf","0·52 (0·48‒0·55)"
2015,"ydf","0·52 (0·49‒0·56)"
2016,"ydf","0·48 (0·45‒0·51)"
2017,"ydf","0·5 (0·47‒0·54)"
2018,"ydf","0·45 (0·43‒0·49)"
2019,"ydf","0·46 (0·44‒0·51)"
2020,"ydf","0·37 (0·34‒0·42)"
2021,"ydf","0·3 (0·26‒0·36)"
2022,"ydf","0·36 (0·3‒0·45)"
2023,"ydf","0·48 (0·39‒0·65)"
2004,"cdr","1·1 (1·03‒1·18)"
2005,"cdr","0·83 (0·78‒0·89)"
2006,"cdr","1·19 (1·1‒1·27)"
2007,"cdr","0·95 (0·89‒1·01)"
2008,"cdr","0·97 (0·89‒1·03)"
2009,"cdr","1·13 (1·04‒1·21)"
2010,"cdr","1 (0·9‒1·08)"
2011,"cdr","1·11 (1·02‒1·18)"
2012,"cdr","1·05 (0·97‒1·13)"
2013,"cdr","1·07 (0·99‒1·15)"
2014,"cdr","4·01 (3·73‒4·36)"
2015,"cdr","4·25 (3·91‒4·7)"
2016,"cdr","3·7 (3·29‒4·17)"
2017,"cdr","4·22 (3·69‒4·88)"
2018,"cdr","3·68 (3·17‒4·4)"
2019,"cdr","4·11 (3·42‒5·16)"
2020,"cdr","3·1 (2·45‒4·3)"
2021,"cdr","2·53 (1·81‒4·14)"
2022,"cdr","3·65 (2·28‒8·1)"
2023,"cdr","6·12 (3·19‒31·37)"
2004,"ipr","7% (6·1‒8·1%)"
2005,"ipr","6·6% (5·7‒7·6%)"
2006,"ipr","6·3% (5·4‒7·4%)"
2007,"ipr","5·9% (5·1‒6·9%)"
2008,"ipr","5·5% (4·8‒6·6%)"
2009,"ipr","5·2% (4·4‒6·2%)"
2010,"ipr","4·9% (4·1‒5·9%)"
2011,"ipr","4·5% (3·8‒5·5%)"
2012,"ipr","4·2% (3·6‒5·1%)"
