year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
1990,8099.836980037962,7906.730353270742,8336.260268626347,5289.324492,4815.776403,4815.776403,4815.776403,47.656886,47.656886,47.656886,7980.1143433230945,7784.543367254224,8213.978849716805,5289.324492,4815.776403,4595.217189,5022.768423,47.656886,45.742637,49.558905,7374.666435309638,7374.666435309638,7374.666435309638,47.65688589396316,46.93972910879979,48.259112287566836,7265.662450080818,6932.900156926832,7577.955634258452,47.28555998537207,43.564195680354516,51.06566251128014,7265.662450080818,6932.900156926832,7577.955634258452,15365.49943011878,14839.630510197574,15914.2159028848,47.28555998537207,43.564195680354516,51.06566251128014,yes,exclude
1991,8569.925115651451,8331.481543655085,8866.234888487308,5910.953599,4455.620179,4455.620179,4455.620179,42.980644,42.980644,42.980644,8448.377796991486,8207.87998019964,8741.312662775636,5910.953599,4455.620179,4249.543134,4666.939244,42.980644,40.818906,44.912229,6459.927427661662,6459.927427661662,6459.927427661662,42.9806440818059,42.149673834883785,43.67350967165227,6368.306223628474,6073.765469368086,6670.339265662341,42.630925167714324,39.093338139449806,46.304928055950526,6368.306223628474,6073.765469368086,6670.339265662341,14938.231339279926,14405.24701302317,15536.57415414965,42.630925167714324,39.093338139449806,46.304928055950526,yes,exclude
1992,8916.181498104583,8631.380171437659,9272.126863669215,6432.677922,4025.952515,4025.952515,4025.952515,38.49407,38.49407,38.49407,8794.688484775523,8508.98206936536,9146.4115704677,6432.677922,4025.952515,3831.609526,4227.074418,38.49407,36.192415,40.346045,5580.276793234824,5580.276793234824,5580.276793234824,38.49406993823201,37.57154008294725,39.26549034434442,5504.239238036509,5238.535581148967,5779.210953673144,38.16975481333594,34.80445156916918,41.667239057276674,5504.239238036509,5238.535581148967,5779.210953673144,14420.420736141092,13869.915752586625,15051.337817342359,38.16975481333594,34.80445156916918,41.667239057276674,yes,exclude
1993,9005.592309795144,8672.594238233645,9422.298773026705,6764.285149,3576.99825,3576.99825,3576.99825,34.5895,34.5895,34.5895,8882.414219993767,8549.701566181011,9294.017188654665,6764.285149,3576.99825,3386.467288,3752.635405,34.5895,32.367411,36.361821,4762.216142989316,4762.216142989316,4762.216142989316,34.58950027755641,33.573345096293714,35.44684299858213,4697.078763066323,4446.886039232366,4927.7139194452475,34.2785631946535,30.988725477331545,37.560282993138664,4697.078763066323,4446.886039232366,4927.7139194452475,13702.671072861467,13119.480277466011,14350.012692471952,34.2785631946535,30.988725477331545,37.560282993138664,yes,exclude
1994,8901.37840245953,8519.557298668036,9377.583556477874,6916.569378,3151.952218,3151.952218,3151.952218,31.305015,31.305015,31.305015,8769.303658714458,8389.065302026534,9239.42833443001,6916.569378,3151.952218,2983.870361,3305.315402,31.305015,29.238696,32.879086,4056.4502234491447,4056.4502234491447,4056.4502234491447,31.305015219435997,30.195325468886697,32.25546912495992,3996.2623964010713,3783.1566263292857,4190.706817770007,30.984444819971323,27.882338319568827,34.06327126939935,3996.2623964010713,3783.1566263292857,4190.706817770007,12897.6407988606,12302.713924997322,13568.290374247881,30.984444819971323,27.882338319568827,34.06327126939935,yes,exclude
1995,8918.634354073698,8491.23582948528,9451.326269550174,7076.333347,2777.041078,2777.041078,2777.041078,28.183655,28.183655,28.183655,8786.81205178005,8361.26076392554,9312.624573910847,7076.333347,2777.041078,2640.887761,2895.502771,28.183655,26.333506,29.555208,3500.0349399063803,3500.0349399063803,3500.0349399063803,28.18365524559877,27.02445621971224,29.188190369617878,3448.3025058173066,3279.2384513076886,3595.398548454692,27.883238548754896,25.134572063497824,30.5459105783159,3448.3025058173066,3279.2384513076886,3595.398548454692,12366.936859891004,11770.474280792969,13046.724818004866,27.883238548754896,25.134572063497824,30.5459105783159,yes,exclude
1996,9077.00920603845,8608.935914817554,9662.188908623622,7298.745734,2466.938039,2466.938039,2466.938039,25.261293,25.261293,25.261293,8956.95904726454,8491.529605277521,9534.615254536866,7298.745734,2466.938039,2340.76442,2583.135071,25.261293,23.729615,26.524653,3067.981829592729,3067.981829592729,3067.981829592729,25.26129348792298,24.100083908400034,26.273901184765695,3027.405501267198,2872.5663029425286,3170.0015163865387,25.0107549557105,22.385627143935203,27.609640761842506,3027.405501267198,2872.5663029425286,3170.0015163865387,12104.414707305648,11481.502217760082,12832.190425010162,25.0107549557105,22.385627143935203,27.609640761842506,yes,exclude
1997,9415.911632424619,8918.450718720596,10045.858172319793,7761.991586,2227.073982,2227.073982,2227.073982,22.295118,22.295118,22.295118,9288.43492445539,8794.19916816327,9910.269007862527,7761.991586,2227.073982,2104.769729,2329.935389,22.295118,21.112232,23.375387,2701.6174368452885,2701.6174368452885,2701.6174368452885,22.295118265460566,21.193352469746248,23.24958339896865,2665.041764676133,2518.6856288329027,2788.1314993881206,22.059862968395386,19.62511809079337,24.377881094199996,2665.041764676133,2518.6856288329027,2788.1314993881206,12080.953397100751,11437.1363475535,12833.989671707914,22.059862968395386,19.62511809079337,24.377881094199996,yes,exclude
1998,9795.794727504537,9271.299420176503,10471.06111294299,8259.14789,2056.643074,2056.643074,2056.643074,19.936843,19.936843,19.936843,9662.918861216267,9142.135601130576,10329.459900985297,8259.14789,2056.643074,1944.701983,2154.800723,19.936843,18.965212,20.838464,2439.2895791393707,2439.2895791393707,2439.2895791393707,19.936843245246664,18.894061341302944,20.829777044364487,2406.2016342637985,2275.2344093181478,2521.0427063123034,19.71973735218429,17.51244017882674,21.833761919724445,2406.2016342637985,2275.2344093181478,2521.0427063123034,12201.996361768335,11546.53382949465,12992.103819255295,19.71973735218429,17.51244017882674,21.833761919724445,yes,exclude
1999,10239.4189559969,9685.948879534453,10965.662320140955,8738.411599,1950.771074,1950.771074,1950.771074,18.249955,18.249955,18.249955,10100.185973826166,9550.929900117431,10817.008920239587,8738.411599,1950.771074,1844.874662,2050.077952,18.249955,17.372198,18.987059,2285.85734233575,2285.85734233575,2285.85734233575,18.249955433238952,17.249775124346186,19.093671414092267,2254.774842834753,2132.37577258687,2369.5574809511413,18.046581309196597,15.990555869294615,20.04985944032109,2254.774842834753,2132.37577258687,2369.5574809511413,12494.193798831653,11818.324652121322,13335.219801092097,18.046581309196597,15.990555869294615,20.04985944032109,yes,exclude
