year,diagnoses,diagnoses_lower,diagnoses_upper,undiag,undiag_lower,undiag_upper,undiag_percent,uplower,upupper,infections,infections_lower,infections_upper,start_plhiv,start_plhiv_lower,start_plhiv_upper,deaths,deaths_lower,deaths_upper,ydf,ydf_lower,ydf_upper,cdr,cdr_lower,cdr_upper,ipr,ipr_lower,ipr_upper,imr,imr_lower,imr_upper
2010,918.0047816695078,918.0047816695078,918.0047816695078,2845.847431724509,2746.4977858165,2982.2210149244174,14.093218047864369,12.276682020878768,15.99136966837536,1094.046067,1057.488623,1127.065145,19374.732946327935,17949.5476914037,21361.228604469965,182.80406822316533,135.7993817523463,249.48215674858616,0.24390032594869232,0.23537221421159854,0.2505127953285335,0.8390915239856237,0.8145090687455406,0.868098967405636,0.056467672098022545,0.04950504685759105,0.06279072678470711,5.984801528948468,4.238734492205294,8.299486569499988
2011,966.1315721659776,966.1315721659776,966.1315721659776,2845.5044728511516,2731.742852790294,3000.9884269027275,13.509925363809044,11.651678034774894,15.481336123030552,1089.443682,1057.002892,1121.212315,20193.027753201888,18648.94050208893,22371.66183131218,163.1841099666626,118.52515047271308,227.73555852920975,0.2534689988119356,0.2435347487327785,0.2612667335715172,0.8868118546452569,0.8616847667838696,0.9140292609208657,0.053951477476043855,0.047247401644547514,0.06012203829351105,6.676162784615279,4.641360790675238,9.45969957032981
2012,1104.4249287127786,1104.4249287127786,1104.4249287127786,2859.1673362157417,2732.095001599628,3026.862258853263,12.971350194488098,11.095424088296712,14.959554259015224,1071.642893,1045.082224,1099.302345,21062.32563263309,19384.557011447847,23445.059541100425,121.58851895056657,82.1982091964456,181.5821024050462,0.27864241700267217,0.26733191825462355,0.2878715473329616,1.0305904475519894,1.0046598497092978,1.0567828093809188,0.0508796090085912,0.0445757973942406,0.05671021237941059,8.81368489598669,5.755425287833638,13.373799207386332
2013,966.9264492014187,966.9264492014187,966.9264492014187,2856.8664343030077,2735.0812407828184,3031.1659591615003,12.474697622227458,10.647088432234549,14.452395137765429,1040.908508,1012.219296,1068.176127,22042.172120452695,20233.639361474656,24623.619429575483,158.72463204188648,113.65112048332334,224.95723803003708,0.25287103110962716,0.24184694860450756,0.26118974626050434,0.9289254932302068,0.905212562573418,0.9552539188122914,0.04722349967652018,0.04110765677218927,0.05279209083037397,6.557951936063146,4.499607591487432,9.398729396220421
2014,1022.833892956483,1022.833892956483,1022.833892956483,2842.877630494315,2733.9174423171476,3015.089546161908,11.964702865449697,10.221114702542897,13.88671674386142,997.505333,966.506803,1026.043179,22901.28803773675,20973.45063062099,25688.53690086987,227.2242047180162,174.20969299942794,302.26737756015166,0.2645913661046885,0.2533069059822988,0.27226552988820135,1.025391904302213,0.9968721725272374,1.0582790413700618,0.043556734946799076,0.03762405024192997,0.048921047712672944,4.389960718480224,3.197522705895259,5.889702009883969
2015,1000.1699130341684,1000.1699130341684,1000.1699130341684,2816.397879473263,2689.7691575304766,2979.5220561816373,11.402100614223675,9.6479996129856,13.237871306107277,941.698178,909.270091,970.686076,23760.536826231204,21712.040374804354,26747.742510285887,105.02591432671844,64.61563639481327,171.19523236841593,0.26206004122281573,0.2513184238304883,0.2710532325622167,1.0620918001119553,1.0303742247500502,1.0999701001208544,0.03963286624738134,0.03399427412052956,0.04470727113820351,8.966341155293645,5.311304984494139,15.022464068432784
2016,1013.9811367083312,1013.9811367083312,1013.9811367083312,2780.302096910658,2634.439066204086,2928.4608797408823,10.867041135653068,9.092590071686544,12.605293430582632,873.751848,839.143338,904.625183,24700.693098251708,22507.561731673875,27879.03467481712,170.34067927292972,120.23596170947272,245.22518695231724,0.2672391791219011,0.25719620795376463,0.27792334224520043,1.1604909781070143,1.1208853741454279,1.2083527221047081,0.03537357613911827,0.03009944023485112,0.04019205606473854,5.129437382364926,3.421929649351912,7.5237488862596225
2017,959,959,959,2719.7342424937724,2570.1275466918387,2848.203908845411,10.316939233258363,8.578267048720095,11.937732472890662,793.931153,753.232325,829.990111,25584.72046074179,23231.99293906104,28973.472304744908,240.33841044894652,183.29744571595648,322.09676158837306,0.26068749107299055,0.2518908949877682,0.27173854934740316,1.207913301268328,1.1554354531339712,1.2731795598389912,0.031031457006467568,0.025997309438007717,0.03572616921747159,3.303388549158477,2.3385280910169506,4.528105166758182
2018,837,837,837,2627.1341214505737,2462.5423188786895,2761.9628325933754,9.715674496692074,7.978863024868932,11.328690101570968,702.5009,649.692064,750.549121,26361.83252612614,23858.835128977666,29960.917888133477,197.51126668098897,142.35316284384763,279.3383501975554,0.241618820361815,0.2325670030320559,0.253671545659837,1.1914575483106142,1.1151835057575132,1.2883026380940987,0.026648409184140742,0.021684651532566077,0.03145791137507896,3.5567636814088526,2.3258248054394275,5.2724442928135336
2019,896,896,896,2517.865111538825,2331.078662704565,2669.713052401586,9.052556080718578,7.312827132600003,10.686469289293164,599.725895,533.104361,658.226498,27040.16198098281,24380.248800436064,30863.323649037593,193.83966092193668,136.50109560464105,280.2235102172768,0.26245911034139285,0.25128213819575984,0.2776504986863494,1.4940158620297694,1.3612335612778688,1.6807215726378197,0.022179079231174122,0.017273070362161847,0.026998350319879714,3.093927693370875,1.9024255337699794,4.822133442111509
2020,632,632,632,2443.9367963453437,2220.8597332480244,2651.8538866727345,8.59097994400263,6.791453875135088,10.413723968230606,485.870949,404.078286,555.703106,27813.858197484493,24982.180551217112,31876.57277324116,171.66452834360942,112.9138365082047,264.1384630647753,0.20546586027089603,0.1924567967426696,0.22153209729679152,1.3007569217726578,1.1372979441291802,1.564053357719895,0.01746866420150019,0.01267634036050463,0.022243979257964598,2.8303514633347233,1.5297972181389838,4.921479272911082
2021,550,550,550,2314.749987446936,2010.9981870473607,2609.1003445193114,8.071833444816296,6.059250992657706,10.2434054795079,361.200866,262.204901,443.334131,28447.706923718964,25464.991147862263,32700.79977100411,292.01313319578065,212.155564242359,409.5794005301665,0.191988830582092,0.17410019942993865,0.2147600114602615,1.5226984533309507,1.240599271613491,2.097596184901212,0.012697011642046974,0.008018302391261323,0.01740955370554751,1.236933633932938,0.6401808798503967,2.0896653480818013
2022,556,556,556,2018.790570166252,1616.0070047468405,2398.3229719852116,6.993158641123411,4.794240433505928,9.448496924464312,225.980457,107.644559,321.394811,28676.879958833397,25471.02474600717,33188.89066460833,255.4116315603054,168.85502749261272,390.0861663142832,0.215939892914902,0.18819878709008772,0.25598444147964655,2.460389749543696,1.7299594796507154,5.165147269542904,0.007880231647389897,0.003243391292821638,0.012618055779258813,0.8847696387963584,0.27595072139336857,1.9033772092694177
