year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
1990,7733.468533106607,7511.262898445183,7956.779377301321,4799.807493,4744.22912,4744.22912,4744.22912,49.708832,49.708832,49.708832,7629.355552923914,7408.015927352667,7850.155641031811,4799.807493,4744.22912,4507.958046,4973.932466,49.708832,47.344129,51.724977,7643.920441991786,7643.920441991786,7643.920441991786,49.70883193739902,48.9972919839063,50.437663935059916,7541.013016418351,7165.457114843945,7906.1294301258,49.37000965936471,45.17114232850554,53.868503473304294,7541.013016418351,7165.457114843945,7906.1294301258,15274.481549524957,14676.720013289128,15862.90880742712,49.37000965936471,45.17114232850554,53.868503473304294,yes,exclude
1991,8162.38430823505,7889.425656659201,8438.4866122414,5292.14338,4200.955243,4200.955243,4200.955243,44.252729,44.252729,44.252729,8057.752360679952,7786.486437347074,8330.658848726425,5292.14338,4200.955243,3961.883624,4398.923877,44.252729,41.733434,46.430323,6479.3806011848765,6479.3806011848765,6479.3806011848765,44.25272937565268,43.43369268867971,45.09338134925243,6396.322736515516,6032.315232552381,6697.747341521982,43.934689508171935,39.85347511791427,48.10998419538384,6396.322736515516,6032.315232552381,6697.747341521982,14558.707044750567,13921.740889211582,15136.233953763382,43.934689508171935,39.85347511791427,48.10998419538384,yes,exclude
1992,8450.726501258268,8127.450893785128,8779.769159610612,5657.398061,3648.996834,3648.996834,3648.996834,39.209564,39.209564,39.209564,8349.690376791525,8029.105909597975,8675.211763984596,5657.398061,3648.996834,3421.743547,3842.648136,39.209564,36.689207,41.615479,5450.681376067188,5450.681376067188,5450.681376067188,39.20956369432033,38.30294313171281,40.14308645504507,5385.513520752158,5050.112942058789,5671.321306474193,38.92324440877714,34.94624128131281,43.03770694737818,5385.513520752158,5050.112942058789,5671.321306474193,13836.240022010426,13177.563835843917,14451.090466084806,38.92324440877714,34.94624128131281,43.03770694737818,yes,exclude
1993,8505.189989836505,8131.940304526018,8887.465652139861,5826.089107,3138.071047,3138.071047,3138.071047,35.006861,35.006861,35.006861,8405.706374196267,8035.028406743949,8783.90783984106,5826.089107,3138.071047,2931.789309,3315.253612,35.006861,32.570864,37.438688,4581.098909776795,4581.098909776795,4581.098909776795,35.00686057689103,34.01326762563981,36.03464783324846,4527.51465314117,4229.897557325803,4783.1483361597675,34.739639830483696,30.941533137765997,38.692857725633075,4527.51465314117,4229.897557325803,4783.1483361597675,13032.704642977675,12361.837861851822,13670.613988299629,34.739639830483696,30.941533137765997,38.692857725633075,yes,exclude
1994,8321.34347994309,7899.40818063356,8757.3928471844265,5825.009295,2700.164835,2700.164835,2700.164835,31.672841,31.672841,31.672841,8218.742970550235,7800.2321860663105,8649.986784003577,5825.009295,2700.164835,2530.239353,2873.750601,31.672841,29.447218,34.040173,3857.3327365821588,3857.3327365821588,3857.3327365821588,31.67284085726939,30.578015438924925,32.80954104324746,3809.772591441536,3570.0178048004855,4054.691821926657,31.40496364079958,27.86445685460942,35.3521774069255,3809.772591441536,3570.0178048004855,4054.691821926657,12131.116071384626,11469.425985434045,12812.084669111084,31.40496364079958,27.86445685460942,35.3521774069255,yes,exclude
1995,8321.26380129034,7854.367941368333,8806.800355387375,5847.611394,2349.991505,2349.991505,2349.991505,28.666813,28.666813,28.666813,8222.694326372326,7759.9188583499345,8702.824979774998,5847.611394,2349.991505,2217.651714,2515.686126,28.666813,26.755443,30.874013,3344.0832378089985,3344.0832378089985,3344.0832378089985,28.66681313981028,27.521317377128412,29.862015597541447,3304.470922095386,3118.3796148437536,3537.4645545732687,28.42375988029628,25.26176842111934,32.23863974315692,3304.470922095386,3118.3796148437536,3537.4645545732687,11625.734723385727,10972.747556212087,12344.264909960644,28.42375988029628,25.26176842111934,32.23863974315692,yes,exclude
1996,8454.546458122659,7946.013405145571,8985.242845465746,5945.929842,2088.98919,2088.98919,2088.98919,25.998883,25.998883,25.998883,8367.055548566283,7863.076438860647,8891.972579646408,5945.929842,2088.98919,1976.263311,2246.459675,25.998883,24.438886,28.128058,2970.3438531374154,2970.3438531374154,2970.3438531374154,25.99888289701934,24.844818811647755,27.210027877052234,2939.605588619807,2780.978810905136,3161.1965475221227,25.799248391285303,22.895424090376586,29.469551984870947,2939.605588619807,2780.978810905136,3161.1965475221227,11394.152046742465,10726.992216050707,12146.439392987868,25.799248391285303,22.895424090376586,29.469551984870947,yes,exclude
1997,8758.266961185545,8215.313990712348,9326.480730182337,6295.328196,1910.55361,1910.55361,1910.55361,23.282734,23.282734,23.282734,8668.12762844489,8130.102228746538,9230.201818148167,6295.328196,1910.55361,1808.021375,2043.414819,23.282734,22.078098,25.289552,2658.0248144439665,2658.0248144439665,2658.0248144439665,23.282733716722994,22.17884421302463,24.44534160182232,2630.6686509193905,2489.490546881159,2813.6071539847667,23.09845924603645,20.506363468158334,26.283592046018615,2630.6686509193905,2489.490546881159,2813.6071539847667,11388.935612104935,10704.804537593507,12140.087884167104,23.09845924603645,20.506363468158334,26.283592046018615,yes,exclude
1998,9060.6271748471,8484.814800222377,9665.11118878225,6700.483688,1803.455573,1803.455573,1803.455573,21.207296,21.207296,21.207296,8964.614563738667,8394.13029681944,9562.55630630221,6700.483688,1803.455573,1708.691423,1925.361408,21.207296,20.118122,22.951309,2438.6953739798805,2438.6953739798805,2438.6953739798805,21.207296026570244,20.148168770993326,22.325198906659857,2412.853287550823,2286.0678017907812,2575.951785320902,21.02982870331697,18.67540267235878,23.915883967015272,2412.853287550823,2286.0678017907812,2575.951785320902,11473.480462397923,10770.882602013158,12241.062974103152,21.02982870331697,18.67540267235878,23.915883967015272,yes,exclude
1999,9460.33395211107,8848.137857687307,10104.89827752285,7114.903202,1754.136909,1754.136909,1754.136909,19.778205,19.778205,19.778205,9360.628164289996,8754.162542545015,9998.237064511657,7114.903202,1754.136909,1664.000672,1878.175412,19.778205,18.723468,21.214457,2332.3888583894,2332.3888583894,2332.3888583894,19.778204710387964,18.75319619866864,20.86117154959802,2307.806991638394,2189.2204452398223,2470.996605280894,19.610633511864624,17.4080688940344,22.387572618944347,2307.806991638394,2189.2204452398223,2470.996605280894,11768.140943749464,11037.358302927129,12575.894882803745,19.610633511864624,17.4080688940344,22.387572618944347,yes,exclude
