year,notifications,annunique,cumunique,propunique,unique,duplicates,totalnotifications,cumpropunique,cum_unique,cumduplicates,propunique_replace,unique_replace,duplicates_replace,cumpropunique_replace,cum_unique_replace,cumduplicates_replace
2006,866.3,1.0191340300757958,0.8913543085113319,1.0191340300757958,882.8757841879772,-16.575784187977114,25548.1,0.8913543085113319,22772.40916672446,2775.690833275539,1.0191340300757958,882.8757841879772,-16.57578418797714,0.8913543085113319,22772.40916672446,2775.690833275539
2007,915,0.976635436164643,0.8943030216281935,0.976635436164643,893.6214240906484,21.37857590935164,26463.1,0.8943030216281935,23666.03059081511,2797.0694091848904,0.976635436164643,893.6214240906484,21.37857590935164,0.8943030216281935,23666.03059081511,2797.0694091848904
2008,872.4,0.8760178262628149,0.893719451690608,0.8760178262628149,764.2377069882793,108.1622930117206,27335.5,0.893719451690608,24430.268297803388,2905.231702196611,0.8760178262628149,764.2377069882793,108.1622930117206,0.893719451690608,24430.268297803388,2905.231702196611
2009,929.6,1.001595249318894,0.8972673289755825,1.001595249318894,931.082348525204,-1.4823485252039972,28265.1,0.8972673289755825,25361.350646328592,2903.7493536714073,1.001595249318894,931.082348525204,-1.4823485252039859,0.8972673289755825,25361.350646328592,2903.7493536714073
2010,910.2,1.0652002052651652,0.9025064772283886,1.0652002052651652,969.5465529736812,-59.34655297368117,29175.3,0.9025064772283886,26330.897199302275,2844.402800697726,1.0652002052651652,969.5465529736812,-59.34655297368122,0.9025064772283886,26330.897199302275,2844.402800697726
2011,1005.1,0.9808090777277516,0.9051141971029169,0.9808090777277516,985.811415816033,19.288584183967032,30180.4,0.9051141971029169,27316.708615118307,2863.691384881693,0.9808090777277516,985.811415816033,19.288584183967032,0.9051141971029169,27316.708615118307,2863.691384881693
2012,1101.5,0.9448362029461658,0.9065128961470318,0.9448362029461658,1040.7372441141638,60.762755885836306,31281.9,0.9065128961470318,28357.44585923247,2924.454140767529,0.9448362029461658,1040.7372441141638,60.762755885836306,0.9065128961470318,28357.44585923247,2924.454140767529
2013,1083,0.8930769452620941,0.9060633001140747,0.8930769452620941,967.202331718848,115.79766828115207,32364.9,0.9060633001140747,29324.648190951317,3040.2518090486815,0.8930769452620941,967.202331718848,115.79766828115206,0.9060633001140747,29324.648190951317,3040.2518090486815
2014,1151.2,0.9145661424960716,0.906355346670473,0.9145661424960716,1052.8483001718773,98.35169982812258,33516.1,0.906355346670473,30377.496491123195,3138.603508876804,0.9145661424960716,1052.8483001718773,98.35169982812258,0.906355346670473,30377.496491123195,3138.603508876804
2015,1083,0.9764936035994256,0.908550771306351,0.9764936035994256,1057.542572698178,25.4574273018221,34599.1,0.908550771306351,31435.039063821372,3164.060936178626,0.9764936035994256,1057.542572698178,25.4574273018221,0.908550771306351,31435.039063821372,3164.060936178626
2016,1100,0.9719101594391101,0.9105030808249531,0.9719101594391101,1069.1011753830212,30.898824616978892,35699.1,0.9105030808249531,32504.140239204396,3194.959760795605,0.9719101594391101,1069.1011753830212,30.898824616978892,0.9105030808249531,32504.140239204396,3194.959760795605
2017,1074.1,1,0.9131171747823459,1.136622304670345,1220.8461532532492,-146.74615325324922,36773.2,0.9171077480096418,33724.98639245764,3048.213607542356,1,1074.1,0,0.9131171747823459,33578.240239204395,3194.9597607956043
2018,978.2,1,0.9153684494911942,0.92704156351886835,906.8316772419421,71.36832275805791,37751.4,0.9173651379307699,34631.818069699584,3119.5819303004137,1,978.2,0,0.9153684494911942,34556.4402392044,3194.9597607956043
2019,1060.9,1,0.9176817804390499,1.0191398733941706,1081.205141236724,-20.305141236724012,38812.3,0.920147052359491,35713.02321093631,3099.2767890636896,1,1060.9,0,0.9176817804390499,35617.34023920439,3194.9597607956043
2020,780,1,0.9193035151118921,1.2271307272941994,957.1619672894755,-177.16196728947543,39592.3,0.9261948766757097,36670.18517822579,2922.1148217742143,1,780,0,0.9193035151118921,36397.34023920439,3194.9597607956043
2021,610.6,1,0.9205291280177392,1.0895440995293035,665.2754201249561,-54.67542012495615,40202.9,0.9286758120271676,37335.46059835074,2867.439401649258,1,610.6,0,0.9205291280177392,37007.9402392044,3194.9597607956043
2022,727.7,1,0.9219420286447841,0.8598166108562065,625.6902673243894,102.00973267561058,40930.6,0.9274516100405159,37961.15086567513,2969.4491343248687,1,727.7,0,0.9219420286447841,37735.6402392044,3194.9597607956043
2023,1088.1,1,0.9239633880191568,1.0744520255925576,1169.11438123782,-81.0143812378199,42018.7,0.9312583575036424,39130.26524691295,2888.4347530870486,1,1088.1,0,0.9239633880191568,38823.740239204395,3194.9597607956043
