year,notifications,annunique,cumunique,propunique,unique,duplicates,totalnotifications,cumpropunique,cum_unique,cumduplicates,propunique_replace,unique_replace,duplicates_replace,cumpropunique_replace,cum_unique_replace,cumduplicates_replace
1996,74.5,0.9879997678052839,0.972469147503092,0.9879997678052839,73.60616015867082,0.8938398413291793,925.6,0.972469147503092,900.1171163831967,25.48288361680327,0.9879997678052839,73.60616015867082,0.8938398413291793,0.972469147503092,900.1171163831967,25.48288361680327
1997,82.9,1.0107346435723017,0.9756133347225633,1.0107346435723017,83.78816543728749,-0.8881654372874891,1008.5,0.9756133347225633,983.9052818204842,24.59471817951578,1.0107346435723017,83.78816543728749,-0.8881654372874905,0.9756133347225633,983.9052818204842,24.59471817951578
1998,94.6,1.0058116957604166,0.9782030439698864,1.0058116957604166,95.14906955551979,-0.5490695555197818,1103.1,0.9782030439698864,1079.054351376004,24.045648623995998,1.0058116957604166,95.14906955551979,-0.5490695555197845,0.9782030439698864,1079.054351376004,24.045648623995998
1999,73,1.0234369192606705,0.9810110649565046,1.0234369192606705,74.71089510602894,-1.7108951060289428,1176.1,0.9810110649565046,1153.765246482033,22.334753517967055,1.0234369192606705,74.71089510602894,-1.7108951060289428,0.9810110649565046,1153.765246482033,22.334753517967055
2000,82.7,0.89934737302649,0.9756455432284761,0.89934737302649,74.37526075456992,8.324739245430077,1258.8,0.9756455432284761,1228.1405072366028,30.659492763397132,0.89934737302649,74.37526075456992,8.324739245430077,0.9756455432284761,1228.1405072366028,30.659492763397132
2001,97,0.9881875845639791,0.9765431438860819,0.9881875845639791,95.85460757972044,1.1453924202795633,1355.8,0.9765431438860819,1323.9951148163234,31.804885183676696,0.9881875845639791,95.85460757972044,1.1453924202795633,0.9765431438860819,1323.9951148163234,31.804885183676696
2002,89.8,0.9194981462376194,0.9730000728405088,0.9194981462376194,82.57163999884685,7.228360001153146,1445.6,0.9730000728405088,1406.56675481517,39.033245184829845,0.9194981462376194,82.57163999884685,7.228360001153146,0.9730000728405088,1406.56675481517,39.033245184829845
2003,89.3,0.9839533972458075,0.9736372991291322,0.9839533972458075,87.86737314370598,1.4326268562940185,1534.9,0.9736372991291322,1494.4341279588762,40.46587204112386,0.9839533972458075,87.86737314370598,1.4326268562940185,0.9736372991291322,1494.4341279588762,40.46587204112386
2004,126,0.981676501727892,0.9742471401939617,0.981676501727892,123.69137386292122,2.3086261370787726,1660.9,0.9742471401939617,1618.1255018217973,42.774498178202634,0.981676501727892,123.69137386292122,2.3086261370787726,0.9742471401939617,1618.1255018217973,42.774498178202634
2005,97,0.9683769801243685,0.9739231523156106,0.9683769801243685,93.93256707206373,3.067432927936261,1757.9,0.9739231523156106,1712.0580688938612,45.841931106138894,0.9683769801243685,93.93256707206373,3.067432927936261,0.9739231523156106,1712.0580688938612,45.841931106138894
2006,150.7,0.9526100946057336,0.9722403323448294,0.9526100946057336,143.558577048303,7.141422951696995,1908.6,0.9722403323448294,1855.616645942164,52.98335405783589,0.9526100946057336,143.558577048303,7.141422951696995,0.9722403323448294,1855.616645942164,52.98335405783589
2007,139,0.9945109867641702,0.9737521082304132,0.9945109867641702,138.23702716021964,0.7629728397803547,2047.6,0.9737521082304132,1993.8536731023837,53.74632689761624,0.9945109867641702,138.23702716021964,0.7629728397803547,0.9737521082304132,1993.8536731023837,53.74632689761624
