stage,year,population,value,lower,upper
numART,2010,female,1496.56042658851,1277.32003557835,1685.92616056571
numART,2011,female,1643.33339602672,1447.62110061688,1821.85285202638
numART,2012,female,1808.04512143871,1637.11859277916,1967.88828460597
numART,2013,female,1789.03888888889,1508.5841957198,2074.77688533574
numART,2014,female,1903.03888888889,1889.46111111111,1948.31831740782
numART,2015,female,2120.5,2102.22222222222,2174.00809896267
numART,2016,female,2274.59444444444,2255.27222222222,2333.67173362287
numART,2017,female,2466.52222222222,2437.53888888889,2539.2575651156
numART,2018,female,2587.73333333333,2559.79444444444,2663.45768911056
numART,2019,female,2806.55555555556,2772.08888888889,2884.11768009295
numART,2020,female,3024.11666666667,3009.23333333333,3079.3704797048
numART,2021,female,3126.28888888889,3066.23333333333,3139.63715215034
numART,2022,female,3287.72222222222,3274.66666666667,3360.31313832042
numART,2023,female,3623.26111111111,3623.26111111111,3685.58364624321
suppressed,2003,female,410.074072407787,257.09638496362,613.690348667213
suppressed,2004,female,503.453907960384,327.496987523354,724.821588149754
suppressed,2005,female,593.379066243667,372.881805974012,806.098977718517
suppressed,2006,female,779.69800208848,492.988700040537,974.347527133168
suppressed,2007,female,876.912666268662,589.009195449413,1099.71260160232
suppressed,2008,female,971.28056096733,718.120266276075,1254.42085195004
suppressed,2009,female,1020.45388749972,787.508855689562,1334.85160512243
suppressed,2010,female,1247.13368882376,977.049922159289,1520.27528546059
suppressed,2011,female,1287.6866162896,1033.39551088543,1554.59879034597
suppressed,2012,female,1531.65605828884,1294.70527369242,1777.83672454968
suppressed,2013,female,1589.08748366013,1268.52652519313,1941.15789109081
suppressed,2014,female,1765.46981258367,1678.4389538459,1884.22929388606
suppressed,2015,female,1984.57051282051,1886.66347893936,2118.20867234389
suppressed,2016,female,2136.74023569024,2036.4807696857,2277.19968223638
suppressed,2017,female,2411.71061728395,2330.88128026179,2537.51011177361
suppressed,2018,female,2514.21818181818,2424.24298544964,2653.16571252949
suppressed,2019,female,2703.69749854567,2596.62485439009,2855.27146966764
suppressed,2020,female,2961.54873563218,2877.25343404681,3087.00424920683
suppressed,2021,female,3042.54900793651,2892.41669391142,3149.42001203898
suppressed,2022,female,3239.01522633745,3159.41782659554,3379.01139237758
suppressed,2023,female,3505.43148148148,3391.85366036122,3681.25870375948
