year,diagnoses,diagnoses_lower,diagnoses_upper,undiag,undiag_lower,undiag_upper,undiag_percent,uplower,upupper,infections,infections_lower,infections_upper,start_plhiv,start_plhiv_lower,start_plhiv_upper,deaths,deaths_lower,deaths_upper,ydf,ydf_lower,ydf_upper,cdr,cdr_lower,cdr_upper,ipr,ipr_lower,ipr_upper,imr,imr_lower,imr_upper
2010,104.22173696041084,102.53260656220168,105.3478238925503,380.4653458522786,342.1636457950613,421.5336170344658,16.817669515870264,13.670846853913185,20.72671119227788,104.333977,97.771903,113.680447,2150.2238046130024,1942.211350368901,2367.262933058388,13.753982267862058,10.111825065299282,18.44116791483331,0.21502891382126646,0.19564818709078444,0.23540809795576648,0.9989242235097665,0.9019370460621225,1.0774856646960251,0.04852238021742953,0.04130166600196095,0.058531450235015714,7.585728625213492,5.301828140795591,11.24232730153895
2011,113.49295387757115,113.49295387757115,113.49295387757115,372.1854154402228,330.6454669539455,414.24721396774,15.71037596521415,12.564453732114645,19.5647674072114,102.631942,96.010577,110.980057,2262.295293014566,2033.769917108296,2502.870886137675,12.574133631166111,9.03725295190423,17.207390597194458,0.23367924339926555,0.21505460602126789,0.25553509571428085,1.1058248695866162,1.0226427787613332,1.182088030546584,0.04536628897072067,0.038360179716725014,0.05456863928727806,8.162148185352315,5.579612809838456,12.280286674571338
2012,105.51181767335693,104.9123283818124,105.91147720105329,364.7470755912876,320.39442183115756,412.47033468410774,14.678708054156273,11.545484585310398,18.661363804989847,100.356366,93.76624,108.605342,2369.042066620902,2117.3122345172997,2631.5944489398557,9.527771766815466,6.373135050931474,13.926867982556413,0.22436963805377463,0.20277511380091498,0.24844009299775333,1.0513714463650161,0.9659960223854588,1.1295267593224736,0.042361580410070106,0.035630961312361015,0.05129396610923547,10.533036312806516,6.732758587030728,17.04111730444605
2013,104.41145298896713,104.41145298896713,104.41145298896713,357.4562557700845,314.7825364897111,406.03619219957295,13.697147692634804,10.764292376580848,17.53495301261007,97.500171,90.72929,105.653847,2484.871790116499,2210.2904106816545,2775.0625750157183,12.621258883092448,8.945147971070547,17.477330357484405,0.22606354808717916,0.2045487994178159,0.24907669386866982,1.0708848191555185,0.9882409013366747,1.1508020506824987,0.03923750568854454,0.03269450239315274,0.04780088919058211,7.725074963053971,5.191255651990725,11.811302321850293
2014,377.12614442989513,377.12614442989513,377.12614442989513,351.78440353932103,309.2959373716663,401.6370620359607,12.788402441520768,10.005785432367654,16.499590880701582,94.05628,86.57951,101.184871,2609.7130861945443,2315.581866159416,2924.3216876435135,18.489256925585128,14.021944337287762,24.01315729819195,0.517383299611439,0.48426292010038596,0.5494085263692303,4.0095796307263605,3.7271001158848653,4.35583597585497,0.036040850811363274,0.02960669832113025,0.04369738443660533,5.087077343267726,3.6055029717611906,7.216179765521163
2015,382.7520975792816,382.7520975792816,382.7520975792816,346.34035704489344,306.23405422233475,394.7572786738854,11.993897074043817,9.418636715993632,15.47557666514714,90.017615,81.493716,97.975185,2750.808047744607,2434.2243691977083,3091.1709976422917,8.779097175728744,5.337037902007853,13.970587900161243,0.5249705920720009,0.4922797194083646,0.5555294494358568,4.25196887941634,3.906622861485606,4.696706891845276,0.03272406268907263,0.026363380111342,0.040249036300746374,10.253630094090823,5.833234548351357,18.357595879755817
2016,315.85433172601427,315.85433172601427,315.85433172601427,338.70761760414103,300.47221296235847,381.9087129120881,11.256433450164335,8.885924876792583,14.357173203994025,85.377097,75.735439,96.038785,2887.6382288990467,2550.8405096330034,3251.362840041635,14.503532296832706,10.114074861500754,20.36490603520062,0.4825430687641455,0.4526670395532819,0.5124788708974342,3.69952063052711,3.288820571043399,4.17049581934838,0.029566410413035447,0.023293444234304583,0.037649858796470724,5.886641629959671,3.718919147924952,9.495558053022904
2017,338,338,338,334.71194916080634,292.47365876989613,377.378205428125,10.60989595194552,8.289275969776837,13.496098664818742,80.127649,69.252322,91.47696,3009.0136374341214,2660.0550643621464,3381.4399415766316,20.75934749978687,15.571617421207442,27.217887406049876,0.5024438772369774,0.4724773517495135,0.5361048717871333,4.21826927681355,3.694919463873745,4.880702772681037,0.02662920765900128,0.02048012775519248,0.034389122701087856,3.8598346600644673,2.544368009421881,5.8745959090553335
2018,273,273,273,327.61326145893617,281.51044822129603,364.6053899964837,9.938300256958511,7.70567571829507,12.40825573655777,74.262193,62.033084,86.236729,3154.7147180027782,2796.2021825749102,3528.337816671461,17.484233318801785,12.278014961320748,24.381460703755476,0.45453541824378274,0.4281645109705009,0.49232616062637324,3.6761639937026906,3.165704487701522,4.400877441463333,0.023540066103668076,0.017581390224851074,0.030840662931100375,4.247380576884756,2.544272664945175,7.023670297818525
2019,278.4,278,279,323.10867658389753,272.44379440535386,360.7731051029163,9.304087107328302,7.155463431261432,11.550097182707097,67.773651,54.05093,81.336095,3296.4717606469053,2938.409698651412,3653.2869862784983,17.650624981663302,11.961350009856329,25.43514190797537,0.4628362163969037,0.43520930637054583,0.5059445818967969,4.1077910942115246,3.4179167318027748,5.161798326134259,0.020559451413804917,0.014795150286033286,0.027680311236833087,3.839730948360638,2.1250492800691605,6.7999092855721015
2020,188,188,188,317.274137698942,258.1351374050858,368.69863576196343,8.730908084911226,6.511361152121641,11.218213255611555,60.654944,43.678547,76.775067,3472.760657296546,3123.5503857324156,3807.4933513750752,16.102118565972333,10.038295941521408,25.04652158665156,0.3720752478172873,0.33770515665568507,0.4213969809539975,3.0995000176737446,2.4487116370735302,4.30417248082909,0.01746591544469359,0.01147173296684169,0.024579423258446222,3.766892148476571,1.7438967262934546,7.648217132395476
2021,133.7,133,134,313.0725253677794,239.864263542652,385.5513768800003,8.352704459977414,5.883364966764085,11.340747789281233,52.898996,32.365999,73.580344,3633.9191137203225,3286.6074780449876,3964.380586092601,28.23026246179783,19.24227026147154,40.44811116411896,0.2992574350670719,0.25648374670264923,0.35841885161808923,2.527458177089032,1.8075479505776706,4.140147195827325,0.014557009758492733,0.008164200761537073,0.022387931778141235,1.873840035018617,0.8001856716788174,3.8238909962369996
2022,162.5,162,163,289.3213993073643,198.9189946872693,374.0552810528058,7.401894040379187,4.729466867239267,10.47339359705186,44.498727,20.11623,70.897199,3748.1575801932063,3399.699773276029,4076.991056949166,25.381782521012017,15.54532089572875,40.07014843760928,0.35965538650694756,0.3022076373948486,0.45037702467328833,3.651789859067204,2.284998593526946,8.10290993889014,0.011872160134128146,0.004934087349961735,0.020853958798744698,1.7531758048577653,0.502025342664296,4.560677741910094
2023,217,217,217,232.8891069407532,119.09972518490362,343.99974588750666,5.70293190697385,2.7293307243724625,9.166343315351304,35.447061,6.918031,68.012952,3908.74818970717,3571.4811783460336,4205.949640226243,31.16127637149186,19.19702279226928,48.889660413359216,0.48234108506338463,0.3868094443727493,0.6456417061353398,6.121805133576519,3.1905687610795073,31.36730668018111,0.009068647884082697,0.0016448202170171184,0.01904334605271448,1.137535593132155,0.1415029464616537,3.542890620903419
