year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
2001,979.9167007780628,914.3945366322455,1052.7096155334661,914.142791,334.670201,334.670201,334.670201,26.799065,26.799065,26.799065,929.6392006766158,866.834461938242,998.8688645002017,914.142791,334.670201,289.031434,372.504181,26.799065,24.012612,28.992753,358.7502110626513,358.7502110626513,358.7502110626513,26.79906464329929,25.416962233194752,28.178273657586036,340.34347938966835,293.9310509469149,378.81881526924104,25.778515818482823,20.532672954465717,31.350723609866755,340.34347938966835,293.9310509469149,378.81881526924104,1320.260180167731,1208.3255875791604,1431.5284308027071,25.778515818482823,20.532672954465717,31.350723609866755,yes,exclude
2002,1043.8000689437963,970.8954878577957,1123.1867841429334,987.674049,349.398933,349.398933,349.398933,26.131628,26.131628,26.131628,993.2809274306437,923.3389087899224,1068.8282804057196,987.674049,349.398933,303.828463,389.549461,26.131628,23.204723,28.149818,369.2540375274038,369.2540375274038,369.2540375274038,26.131627645139265,24.74162004722809,27.55319690325369,351.38241868853373,305.55325191951766,391.76087525428886,25.185409206564877,20.169228291431093,30.691469468851103,351.38241868853373,305.55325191951766,391.76087525428886,1395.18248763233,1276.4487397773134,1514.9476593972222,25.185409206564877,20.169228291431093,30.691469468851103,yes,exclude
2003,1112.6056170001696,1032.9295138526616,1199.9502010090541,1064.929327,362.545453,362.545453,362.545453,25.397678,25.397678,25.397678,1059.801009106689,983.3933808388574,1142.9791110609676,1064.929327,362.545453,318.776239,403.296571,25.397678,22.70198,27.391056,378.77641003840154,378.77641003840154,378.77641003840154,25.39767833936793,23.992527103035936,26.831112884642856,360.7995640601244,317.2411269047857,401.3544392839013,24.4874640525212,19.811416199152905,29.726201056982028,360.7995640601244,317.2411269047857,401.3544392839013,1473.405181060294,1350.1706407574472,1601.3046402929554,24.4874640525212,19.811416199152905,29.726201056982028,yes,exclude
2004,1220.3339642859803,1128.42853427108,1319.870448173445,1151.322531,372.672794,372.672794,372.672794,24.45367,24.45367,24.45367,1158.750219978115,1070.7168323498227,1253.5318858824671,1151.322531,372.672794,331.187177,416.20135,24.45367,21.964284,26.333097,395.0111770057529,395.0111770057529,395.0111770057529,24.453670420544103,23.0343115936341,25.928901162402035,375.07707041247744,333.3238114165603,418.88644830810523,23.509745279113556,19.17023662658394,28.65645808907882,375.07707041247744,333.3238114165603,418.88644830810523,1595.4110346984578,1461.7523456876404,1738.7568964815503,23.509745279113556,19.17023662658394,28.65645808907882,yes,exclude
2005,1294.4271906223123,1190.5073457757483,1406.1097704555716,1237.901648,380.433305,380.433305,380.433305,23.507699,23.507699,23.507699,1227.3300194419126,1127.9404986356099,1333.610607015444,1237.901648,380.433305,340.08682,423.173006,23.507699,21.284074,25.339309,397.8047973406618,397.8047973406618,397.8047973406618,23.507698718041595,22.052308043980332,25.045756847273946,377.1844204072027,337.1824927100656,419.5591261392945,22.56411823885943,18.46898379760751,27.463632706698178,377.1844204072027,337.1824927100656,419.5591261392945,1671.611611029515,1527.6898384858139,1825.668896594866,22.56411823885943,18.46898379760751,27.463632706698178,yes,exclude
2006,1414.8592559376402,1296.4133752028818,1541.0937144277923,1326.024732,386.177535,386.177535,386.177535,22.554434,22.554434,22.554434,1331.562420929919,1218.3988875063487,1451.273086942816,1326.024732,386.177535,348.712842,426.216288,22.554434,20.574368,24.279264,412.04877001489587,412.04877001489587,412.04877001489587,22.554434277010564,21.09670816630003,24.118109445285487,387.79027344216115,350.1691219608959,427.9962346049542,21.512238908446044,17.78329741274163,25.99300280078123,387.79027344216115,350.1691219608959,427.9962346049542,1802.6495293798014,1646.5824971637776,1969.0899490327465,21.512238908446044,17.78329741274163,25.99300280078123,yes,exclude
2007,1528.4939175450568,1394.8843771928987,1670.4767608652369,1416.337919,390.086271,390.086271,390.086271,21.594389,21.594389,21.594389,1410.1743352628598,1283.341212959455,1544.1445953778461,1416.337919,390.086271,352.011185,426.469295,21.594389,19.849388,23.218665,420.9761558613843,420.9761558613843,420.9761558613843,21.594389244754304,20.128407027219307,23.183286832788923,388.388703375944,350.4793115776678,424.61339664707896,20.261475540392535,16.728602839403464,24.328075539727568,388.388703375944,350.4793115776678,424.61339664707896,1916.8826209210008,1745.3636887705666,2095.0901575123157,20.261475540392535,16.728602839403464,24.328075539727568,yes,exclude
2008,1644.6542487512952,1493.2554307208145,1804.066068627539,1509.539005,392.236072,392.236072,392.236072,20.624735,20.624735,20.624735,1490.371527892599,1348.4954254066129,1639.7904261836306,1509.539005,392.236072,350.94641,431.113037,20.624735,18.896202,22.275367,427.34418931315975,427.34418931315975,427.34418931315975,20.62473510898786,19.151305224685256,22.250560963122563,387.25562703908497,346.4902434105189,425.6389490565754,19.05870096174658,15.539734658282349,23.135749415883147,387.25562703908497,346.4902434105189,425.6389490565754,2031.9098757903803,1839.7456741313333,2229.7050176841144,19.05870096174658,15.539734658282349,23.135749415883147,yes,exclude
2009,1764.2996086254614,1594.5093508541183,1942.3060186210862,1606.123807,392.633535,392.633535,392.633535,19.643882,19.643882,19.643882,1578.678293164447,1421.007581473488,1744.0733651942044,1606.123807,392.633535,353.746841,432.34484200000003,19.643882,18.003355,21.395409,431.3012416070434,431.3012416070434,431.3012416070434,19.643882063598692,18.170707885583003,21.29030439529169,385.92419598754077,347.7019995147828,424.9569144373019,17.948094294165784,14.687933252330732,21.88005514212375,385.92419598754077,347.7019995147828,424.9569144373019,2150.2238046130024,1942.211350368901,2367.262933058388,17.948094294165784,14.687933252330732,21.88005514212375,yes,exclude
2010,1881.8299471622877,1691.6062713132349,2081.337269103209,1699.147566,391.247493,391.247493,391.247493,18.716438,18.716438,18.716438,1652.321811432661,1477.0613363993557,1836.3413815791755,1699.147566,391.247493,351.860347,433.479613,18.716438,16.971049,20.494018,433.31212886519097,433.31212886519097,433.31212886519097,18.716437896058,17.231512640102686,20.391942054283422,380.4653458522786,342.1636457950613,421.5336170344658,16.817669515870264,13.670846853913183,20.726711192277882,380.4653458522786,342.1636457950613,421.5336170344658,2262.295293014566,2033.769917108296,2502.870886137675,16.817669515870264,13.670846853913183,20.726711192277882,yes,exclude
