"year","stage","value","lower","upper"
2008,"imr",6.7289158532061295,4.555418311344537,9.774162196493046
2009,"imr",8.931980145661107,5.717732929581813,13.786922516531277
2010,"imr",5.984801528948468,4.238734492205294,8.299486569499988
2011,"imr",6.676162784615279,4.641360790675238,9.45969957032981
2012,"imr",8.81368489598669,5.755425287833638,13.373799207386332
2013,"imr",6.557951936063146,4.499607591487432,9.398729396220421
2014,"imr",4.389960718480224,3.197522705895259,5.889702009883969
2015,"imr",8.966341155293645,5.311304984494139,15.022464068432784
2016,"imr",5.129437382364926,3.421929649351912,7.5237488862596225
2017,"imr",3.303388549158477,2.3385280910169506,4.528105166758182
2018,"imr",3.5567636814088526,2.3258248054394275,5.2724442928135336
2019,"imr",3.093927693370875,1.9024255337699794,4.822133442111509
2020,"imr",2.8303514633347233,1.5297972181389838,4.921479272911082
2021,"imr",1.236933633932938,0.6401808798503967,2.0896653480818013
2022,"imr",0.8847696387963584,0.27595072139336857,1.9033772092694177
2004,"ydfoffest",3254.4630503907815,3145.0545724206836,3357.1836507940375
2005,"ydfoffest",3429.938718651545,3326.022943874782,3526.2218664029087
2006,"ydfoffest",3586.1989568173,3475.3081116736375,3687.8485411947995
2007,"ydfoffest",3654.5923607124673,3552.73595001277,3767.331045637736
2008,"ydfoffest",3666.599631366564,3573.807159494637,3784.4862792676804
2009,"ydfoffest",3768.934241103474,3669.1950284890936,3895.324398230797
2010,"ydfoffest",3758.847431724509,3659.4977858165,3895.2210149244174
2011,"ydfoffest",3829.5044728511516,3715.742852790294,3984.9884269027275
2012,"ydfoffest",3927.1673362157417,3800.095001599628,4094.862258853263
2013,"ydfoffest",3892.8664343030077,3771.0812407828184,4067.1659591615003
2014,"ydfoffest",3921.877630494315,3812.9174423171476,4094.089546161908
2015,"ydfoffest",3845.397879473263,3718.7691575304766,4008.5220561816373
2016,"ydfoffest",3786.302096910658,3640.439066204086,3934.4608797408823
2017,"ydfoffest",3680.7342424937724,3531.1275466918387,3809.203908845411
2018,"ydfoffest",3467.1341214505737,3302.5423188786895,3601.9628325933754
2019,"ydfoffest",3414.865111538825,3228.078662704565,3566.713052401586
2020,"ydfoffest",3076.9367963453437,2853.8597332480244,3284.8538866727345
2021,"ydfoffest",2864.749987446936,2560.9981870473607,3159.1003445193114
2022,"ydfoffest",2577.790570166252,2175.0070047468407,2957.3229719852116
2004,"iproffset",14478.338125748742,13667.97707673544,15579.520962085471
2005,"iproffset",15285.313608724178,14393.29366234704,16492.022593721565
2006,"iproffset",16070.52286943162,15082.039447343326,17403.922358960433
2007,"iproffset",16942.6892828715,15838.924965749988,18426.56581163417
2008,"iproffset",17793.025005713178,16586.525517896145,19443.23346531119
2009,"iproffset",18481.252282233367,17173.417867875432,20295.517876392336
2010,"iproffset",19374.732946327935,17949.5476914037,21361.228604469965
2011,"iproffset",20193.027753201888,18648.94050208893,22371.66183131218
2012,"iproffset",21062.32563263309,19384.557011447847,23445.059541100425
2013,"iproffset",22042.172120452695,20233.639361474656,24623.619429575483
2014,"iproffset",22901.28803773675,20973.45063062099,25688.53690086987
2015,"iproffset",23760.536826231204,21712.040374804354,26747.742510285887
2016,"iproffset",24700.693098251708,22507.561731673875,27879.03467481712
2017,"iproffset",25584.72046074179,23231.99293906104,28973.472304744908
2018,"iproffset",26361.83252612614,23858.835128977666,29960.917888133477
2019,"iproffset",27040.16198098281,24380.248800436064,30863.323649037593
2020,"iproffset",27813.858197484493,24982.180551217112,31876.57277324116
2021,"iproffset",28447.706923718964,25464.991147862263,32700.79977100411
2022,"iproffset",28676.879958833397,25471.02474600717,33188.89066460833
2004,"imroffset",114.48920642419544,76.77189893974445,171.62716651116034
2005,"imroffset",165.14600510954807,119.73293240269122,230.05883757850717
2006,"imroffset",183.63548714666575,135.92485006653018,250.8608338295371
2007,"imroffset",178.24031553631875,130.52674384699387,246.0285708153509
2008,"imroffset",157.91890078305727,111.93392129225636,224.88063356307657
2009,"imroffset",121.49436320983662,81.09855695927335,183.06440994902417
2010,"imroffset",182.80406822316533,135.7993817523463,249.48215674858616
2011,"imroffset",163.1841099666626,118.52515047271308,227.73555852920975
2012,"imroffset",121.58851895056657,82.1982091964456,181.5821024050462
2013,"imroffset",158.72463204188648,113.65112048332334,224.95723803003708
2014,"imroffset",227.2242047180162,174.20969299942794,302.26737756015166
2015,"imroffset",105.02591432671844,64.61563639481327,171.19523236841593
2016,"imroffset",170.34067927292972,120.23596170947272,245.22518695231724
2017,"imroffset",240.33841044894652,183.29744571595648,322.09676158837306
2018,"imroffset",197.51126668098897,142.35316284384763,279.3383501975554
2019,"imroffset",193.83966092193668,136.50109560464105,280.2235102172768
2020,"imroffset",171.66452834360942,112.9138365082047,264.1384630647753
2021,"imroffset",292.01313319578065,212.155564242359,409.5794005301665
2022,"imroffset",255.4116315603054,168.85502749261272,390.0861663142832
