"indicator","breakpoints","breakpoints_low","breakpoints_up","rate_ratio","rate_ratio_low","rate_ratio_up","valueStart","valueStart_low","valueStart_up","valueEnd","valueEnd_low","valueEnd_up"
"Diagnosed but untreated",2021.73,2021.6,2021.86,0.9400511408861167,0.9330355275761697,0.9471185583696248,0,0,0,0,0,0
"Diagnosed but untreated",0,0,0,0.6657440444189381,0.6415873108364613,0.6908103155928207,0,0,0,0,0,0
"On ART but unsuppressed",0,0,0,0.9081540223279908,0.8983433808273787,0.9180666204814404,3032.49306431274,0,0,665.6049856184,0,0
"Diagnoses excluding OS",2009.38,2003.11,2015.65,1.0055708598498716,0.9939832734323446,1.0172938363835626,894,0,0,722,0,0
"Diagnoses excluding OS",2016.71,2016.33,2017.08,1.0152389464402432,1.0061120025267982,1.024448070746235,0,0,0,0,0,0
"Diagnoses excluding OS",2021.55,2021.28,2021.83,0.8593749124530677,0.8456582168506478,0.8733228279782428,0,0,0,0,0,0
"Diagnoses excluding OS",0,0,0,1.2587132890278545,1.167984951110699,1.3564893472888224,0,0,0,0,0,0
"Diagnoses including OS",2014,2013.68,2014.32,1.0338172296820172,1.032060201350573,1.035578284839756,918,0,0,1302,0,0
"Diagnoses including OS",2019.15,2018.98,2019.31,0.983349183138844,0.9799771734370161,0.9867318088780437,0,0,0,0,0,0
"Diagnoses including OS",2021.27,2021.2,2021.34,0.770165386142364,0.7512400784064724,0.7895674619357558,0,0,0,0,0,0
"Diagnoses including OS",0,0,0,1.452679816476477,1.4210556344966996,1.4850077632221175,0,0,0,0,0,0
"Diagnoses overseas",2008.24,2007.58,2008.9,1.6041114667242038,1.4659888533634786,1.7552477235910342,24,0,0,580,0,0
"Diagnoses overseas",0,0,0,1.0778334915200443,1.0632805633993232,1.092585602927075,0,0,0,0,0,0
"Annual new infections",2012.5,2012.33,2012.68,1.0102905876328445,1.0090465751310986,1.0115370442099612,908,887,929,384,232,537
"Annual new infections",2019.51,2019.38,2019.64,0.9514349122482839,0.9496061113477355,0.9532672351488426,0,0,0,0,0,0
"Annual new infections",0,0,0,0.841465722491245,0.8364989615321182,0.8464619738807959,0,0,0,0,0,0
"Percentage diagnosed",2014.26,2013.07,2015.45,1.0071590040193648,1.0066354174815726,1.0076828628929577,0.8298336375024372,0,0,0.9213396414250857,0,0
"Percentage diagnosed",0,0,0,1.003174829128393,1.0025981694072024,1.003751720149094,0,0,0,0,0,0
"Percentage diagnosed treated",2009,2008.5,2009.5,1.0214191665144685,1.0180621832444743,1.0247872191836218,0.58751037282856855,0,0,0.9656357706025119,0,0
"Percentage diagnosed treated",2014.53,2014.28,2014.78,1.0502045975529162,1.0479260285887046,1.0524881209474817,0,0,0,0,0,0
"Percentage diagnosed treated",0,0,0,1.0098112174834883,1.0087639807645932,1.010859541379133,0,0,0,0,0,0
"Percentage treated suppressed",2010.26,2009.9,2010.62,1.0577150835950777,1.0541428792578087,1.061299393164074,0.600882723833543,0,0,0.9750719079578143,0,0
"Percentage treated suppressed",0,0,0,1.0087967661267272,1.0075848201202564,1.0100101698895012,0,0,0,0,0,0
"Percentage suppressed overall",2014.38,2014.12,2014.64,1.0858238417269632,1.0839643337158467,1.0876865396677997,0.29295188138478606,0,0,0.8675005267333994,0,0
"Percentage suppressed overall",0,0,0,1.0170049659555722,1.0147710291491567,1.0192438205941996,0,0,0,0,0,0
"Yearly diagnosed fraction",2017.54,2017.18,2017.89,1.0168280224860242,1.0136351218233521,1.0200320006598678,0.2462386103628467,0.2362437857133756,0.25616175230097854,0.24930424643766233,0.21672369250111018,0.2925917783356476
"Yearly diagnosed fraction",2021.66,2021.45,2021.88,0.8600540868724786,0.8410619158657924,0.8794751235223988,0,0,0,0,0,0
"Yearly diagnosed fraction",0,0,0,1.37128739092201,1.2754001850617853,1.4743835938918248,0,0,0,0,0,0
"Case detection rate",2019,2017.5,2020.5,1.0256053257656421,1.0203513206470454,1.0308863848696923,0.9536201072412092,0.932177530772916,0.9770740060368927,2.0414342780817765,1.4602049869285765,3.3804636803521158
"Case detection rate",2021.45,2021.07,2021.83,0.8705239562928085,0.756744196567277,1.0014034839630739,0,0,0,0,0,0
"Case detection rate",0,0,0,1.6647916825180131,1.4490816341219233,1.9126314186658178,0,0,0,0,0,0
"Incidence prevalence ratio",2012.45,2012.26,2012.64,0.9682838511803546,0.96713904866860545,0.9694300087948604,0.061247642172888944,0.0555128178014313,0.06740684500546092,0.01302622287247726,0.006759341720763695,0.021184096192542908
"Incidence prevalence ratio",2019.49,2019.34,2019.64,0.9176740653910032,0.9159816016909063,0.9193687368953871,0,0,0,0,0,0
"Incidence prevalence ratio",0,0,0,0.8266532156621753,0.8219711350939508,0.8313536525407144,0,0,0,0,0,0
"Incidence mortality ratio",2015,2013.45,2016.55,1.0044982870548806,0.9813932826602533,1.0281468427768485,7.930131760309213,5.265381678977842,12.098542940541009,1.276237260434825,0.5426222486608616,2.628415407239981
"Incidence mortality ratio",0,0,0,0.834844332211879,0.7995709561416638,0.8716738066493921,0,0,0,0,0,0
