"year","stage","value","lower","upper"
2013,"diagnoses_include",1248,0,0
2014,"diagnoses_include",1338,0,0
2015,"diagnoses_include",1253,0,0
2016,"diagnoses_include",1266,0,0
2017,"diagnoses_include",1252,0,0
2018,"diagnoses_include",1132,0,0
2019,"diagnoses_include",1240,0,0
2020,"diagnoses_include",948,0,0
2021,"diagnoses_include",734,0,0
2022,"diagnoses_include",894,0,0
2023,"diagnoses_include",1302,0,0
2004,"diagnoses_os",24,0,0
2005,"diagnoses_os",23,0,0
2006,"diagnoses_os",35,0,0
2007,"diagnoses_os",105,0,0
2008,"diagnoses_os",117,0,0
2009,"diagnoses_os",131,0,0
2010,"diagnoses_os",156,0,0
2011,"diagnoses_os",168,0,0
2012,"diagnoses_os",193,0,0
2013,"diagnoses_os",212,0,0
2014,"diagnoses_os",259,0,0
2015,"diagnoses_os",224,0,0
2016,"diagnoses_os",260,0,0
2017,"diagnoses_os",291,0,0
2018,"diagnoses_os",292,0,0
2019,"diagnoses_os",345,0,0
2020,"diagnoses_os",322,0,0
2021,"diagnoses_os",193,0,0
2022,"diagnoses_os",341,0,0
2023,"diagnoses_os",580,0,0
2004,"infections",908,887,929
2005,"infections",938,917,956
2006,"infections",962,941,980
2007,"infections",980,960,999
2008,"infections",993,972,1014
2009,"infections",1000,978,1026
2010,"infections",1002,974,1032
2011,"infections",997,966,1029
2012,"infections",986,957,1020
2013,"infections",969,941,1002
2014,"infections",945,919,976
2015,"infections",914,893,944
2016,"infections",876,856,904
2017,"infections",830,800,864
2018,"infections",777,735,821
2019,"infections",716,659,771
2020,"infections",646,573,721
2021,"infections",568,473,666
2022,"infections",480,358,605
2023,"infections",384,232,537
2004,"propdiagnosed",0.8298336375024372,0,0
2005,"propdiagnosed",0.8345761563085906,0,0
2006,"propdiagnosed",0.83959067667577,0,0
2007,"propdiagnosed",0.845358277136804,0,0
2008,"propdiagnosed",0.8513312132966817,0,0
2009,"propdiagnosed",0.8580151457336143,0,0
2010,"propdiagnosed",0.8647254677161461,0,0
2011,"propdiagnosed",0.871613176896836,0,0
2012,"propdiagnosed",0.8781354714315348,0,0
2013,"propdiagnosed",0.883934244970676,0,0
2014,"propdiagnosed",0.8886804249756556,0,0
2015,"propdiagnosed",0.8930641978023458,0,0
2016,"propdiagnosed",0.8965498093104103,0,0
2017,"propdiagnosed",0.8996473003068385,0,0
2018,"propdiagnosed",0.9027761619968608,0,0
2019,"propdiagnosed",0.906053377011694,0,0
2020,"propdiagnosed",0.9078186548920789,0,0
2021,"propdiagnosed",0.9065220186790353,0,0
2022,"propdiagnosed",0.9097608268945375,0,0
2023,"propdiagnosed",0.9213396414250857,0,0
2004,"proptreated",0.58751037282856855,0,0
2005,"proptreated",0.6213677055267338,0,0
2006,"proptreated",0.6595014626724827,0,0
2007,"proptreated",0.6579923435343064,0,0
2008,"proptreated",0.6486288743577515,0,0
2009,"proptreated",0.658188329448564,0,0
2010,"proptreated",0.71451197486375,0,0
2011,"proptreated",0.747118298684375,0,0
2012,"proptreated",0.7805664914318996,0,0
2013,"proptreated",0.82350431742325,0,0
2014,"proptreated",0.855907201980548,0,0
2015,"proptreated",0.8855511647461507,0,0
2016,"proptreated",0.8959739893596742,0,0
2017,"proptreated",0.9138895557462824,0,0
2018,"proptreated",0.9131763251690377,0,0
2019,"proptreated",0.9245415841140404,0,0
2020,"proptreated",0.9323134056714129,0,0
2021,"proptreated",0.9376250680094312,0,0
2022,"proptreated",0.9468012639304718,0,0
2023,"proptreated",0.9656357706025119,0,0
2004,"propsuppressed",0.600882723833543,0,0
2005,"propsuppressed",0.6611987381703466,0,0
2006,"propsuppressed",0.7325581395348832,0,0
2007,"propsuppressed",0.7653123104912071,0,0
2008,"propsuppressed",0.8033373063170441,0,0
2009,"propsuppressed",0.8233236151603495,0,0
2010,"propsuppressed",0.8514963297572017,0,0
2011,"propsuppressed",0.8647668393782373,0,0
2012,"propsuppressed",0.8934010152284281,0,0
2013,"propsuppressed",0.923586347427406,0,0
2014,"propsuppressed",0.9338624338624351,0,0
2015,"propsuppressed",0.9473684210526291,0,0
2016,"propsuppressed",0.9478594950603709,0,0
2017,"propsuppressed",0.9678135405105429,0,0
2018,"propsuppressed",0.9730700179533215,0,0
2019,"propsuppressed",0.968880909634951,0,0
2020,"propsuppressed",0.9653614457831332,0,0
2021,"propsuppressed",0.9769503546099304,0,0
2022,"propsuppressed",0.9842657342657334,0,0
2023,"propsuppressed",0.9750719079578143,0,0
2004,"propoverall",0.29295188138478606,0,0
2005,"propoverall",0.34288356312729545,0,0
2006,"propoverall",0.4056257046136339,0,0
