"year","indicator","value"
2012,"propsuppressed","89·3% (0‒0%)"
2013,"propsuppressed","92·4% (0‒0%)"
2014,"propsuppressed","93·4% (0‒0%)"
2015,"propsuppressed","94·7% (0‒0%)"
2016,"propsuppressed","94·8% (0‒0%)"
2017,"propsuppressed","96·8% (0‒0%)"
2018,"propsuppressed","97·3% (0‒0%)"
2019,"propsuppressed","96·9% (0‒0%)"
2020,"propsuppressed","96·5% (0‒0%)"
2021,"propsuppressed","97·7% (0‒0%)"
2022,"propsuppressed","98·4% (0‒0%)"
2023,"propsuppressed","97·5% (0‒0%)"
2004,"propoverall","29·3% (0‒0%)"
2005,"propoverall","34·3% (0‒0%)"
2006,"propoverall","40·6% (0‒0%)"
2007,"propoverall","42·6% (0‒0%)"
2008,"propoverall","44·4% (0‒0%)"
2009,"propoverall","46·5% (0‒0%)"
2010,"propoverall","52·6% (0‒0%)"
2011,"propoverall","56·3% (0‒0%)"
2012,"propoverall","61·2% (0‒0%)"
2013,"propoverall","67·2% (0‒0%)"
2014,"propoverall","71% (0‒0%)"
2015,"propoverall","74·9% (0‒0%)"
2016,"propoverall","76·1% (0‒0%)"
2017,"propoverall","79·6% (0‒0%)"
2018,"propoverall","80·2% (0‒0%)"
2019,"propoverall","81·2% (0‒0%)"
2020,"propoverall","81·7% (0‒0%)"
2021,"propoverall","83% (0‒0%)"
2022,"propoverall","84·8% (0‒0%)"
2023,"propoverall","86·8% (0‒0%)"
2004,"ydf","0·25 (0·24‒0·26)"
2005,"ydf","0·26 (0·25‒0·27)"
2006,"ydf","0·27 (0·26‒0·28)"
2007,"ydf","0·25 (0·25‒0·26)"
2008,"ydf","0·23 (0·22‒0·24)"
2009,"ydf","0·26 (0·25‒0·27)"
2010,"ydf","0·25 (0·25‒0·26)"
2011,"ydf","0·27 (0·26‒0·28)"
2012,"ydf","0·29 (0·28‒0·3)"
2013,"ydf","0·27 (0·26‒0·28)"
2014,"ydf","0·31 (0·3‒0·32)"
2015,"ydf","0·3 (0·29‒0·32)"
2016,"ydf","0·3 (0·29‒0·31)"
2017,"ydf","0·29 (0·28‒0·3)"
2018,"ydf","0·26 (0·25‒0·27)"
2019,"ydf","0·27 (0·26‒0·28)"
2020,"ydf","0·21 (0·19‒0·22)"
2021,"ydf","0·18 (0·16‒0·19)"
2022,"ydf","0·18 (0·16‒0·2)"
2023,"ydf","0·25 (0·22‒0·29)"
2004,"cdr","0·95 (0·93‒0·98)"
2005,"cdr","0·99 (0·97‒1·01)"
2006,"cdr","1·04 (1·02‒1·06)"
2007,"cdr","0·96 (0·95‒0·98)"
2008,"cdr","0·83 (0·81‒0·85)"
2009,"cdr","0·96 (0·94‒0·99)"
2010,"cdr","0·91 (0·89‒0·94)"
