"year","indicator","value"
2004,"diagnoses_os","20 (0‒0)"
2005,"diagnoses_os","20 (0‒0)"
2006,"diagnoses_os","20 (0‒0)"
2007,"diagnoses_os","70 (0‒0)"
2008,"diagnoses_os","80 (0‒0)"
2009,"diagnoses_os","100 (0‒0)"
2010,"diagnoses_os","110 (0‒0)"
2011,"diagnoses_os","120 (0‒0)"
2012,"diagnoses_os","140 (0‒0)"
2013,"diagnoses_os","160 (0‒0)"
2014,"diagnoses_os","180 (0‒0)"
2015,"diagnoses_os","160 (0‒0)"
2016,"diagnoses_os","190 (0‒0)"
2017,"diagnoses_os","230 (0‒0)"
2018,"diagnoses_os","220 (0‒0)"
2019,"diagnoses_os","270 (0‒0)"
2020,"diagnoses_os","240 (0‒0)"
2021,"diagnoses_os","140 (0‒0)"
2022,"diagnoses_os","270 (0‒0)"
2023,"diagnoses_os","470 (0‒0)"
2004,"infections","800 (780‒820)"
2005,"infections","830 (800‒850)"
2006,"infections","850 (830‒870)"
2007,"infections","870 (840‒890)"
2008,"infections","880 (850‒900)"
2009,"infections","890 (860‒910)"
2010,"infections","890 (860‒920)"
2011,"infections","880 (850‒910)"
2012,"infections","880 (840‒900)"
2013,"infections","860 (830‒890)"
2014,"infections","840 (810‒870)"
2015,"infections","810 (780‒840)"
2016,"infections","780 (760‒810)"
2017,"infections","740 (710‒770)"
2018,"infections","700 (650‒740)"
2019,"infections","640 (600‒710)"
2020,"infections","580 (510‒670)"
2021,"infections","520 (420‒630)"
2022,"infections","440 (310‒570)"
2023,"infections","360 (200‒510)"
2004,"propdiagnosed","83·6% (0‒0%)"
2005,"propdiagnosed","84·1% (0‒0%)"
2006,"propdiagnosed","84·5% (0‒0%)"
2007,"propdiagnosed","85% (0‒0%)"
2008,"propdiagnosed","85·6% (0‒0%)"
2009,"propdiagnosed","86·2% (0‒0%)"
2010,"propdiagnosed","86·8% (0‒0%)"
2011,"propdiagnosed","87·4% (0‒0%)"
2012,"propdiagnosed","88·1% (0‒0%)"
2013,"propdiagnosed","88·6% (0‒0%)"
2014,"propdiagnosed","89% (0‒0%)"
2015,"propdiagnosed","89·4% (0‒0%)"
2016,"propdiagnosed","89·7% (0‒0%)"
2017,"propdiagnosed","89·9% (0‒0%)"
2018,"propdiagnosed","90·2% (0‒0%)"
2019,"propdiagnosed","90·5% (0‒0%)"
2020,"propdiagnosed","90·6% (0‒0%)"
2021,"propdiagnosed","90·3% (0‒0%)"
2022,"propdiagnosed","90·5% (0‒0%)"
2023,"propdiagnosed","91·6% (0‒0%)"
2004,"proptreated","55·5% (0‒0%)"
2005,"proptreated","58·6% (0‒0%)"
2006,"proptreated","62·4% (0‒0%)"
2007,"proptreated","62·4% (0‒0%)"
2008,"proptreated","61·7% (0‒0%)"
2009,"proptreated","62·7% (0‒0%)"
2010,"proptreated","68·2% (0‒0%)"
2011,"proptreated","71·5% (0‒0%)"
2012,"proptreated","75% (0‒0%)"
2013,"proptreated","81·9% (0‒0%)"
2014,"proptreated","85·5% (0‒0%)"
2015,"proptreated","88·3% (0‒0%)"
2016,"proptreated","89·4% (0‒0%)"
2017,"proptreated","91·3% (0‒0%)"
2018,"proptreated","91·6% (0‒0%)"
2019,"proptreated","92·9% (0‒0%)"
2020,"proptreated","93·7% (0‒0%)"
2021,"proptreated","94·7% (0‒0%)"
2022,"proptreated","96·2% (0‒0%)"
2023,"proptreated","98·2% (0‒0%)"
2004,"propsuppressed","60·5% (0‒0%)"
2005,"propsuppressed","66·6% (0‒0%)"
2006,"propsuppressed","73·6% (0‒0%)"
2007,"propsuppressed","76·7% (0‒0%)"
2008,"propsuppressed","80·4% (0‒0%)"
2009,"propsuppressed","82·7% (0‒0%)"
2010,"propsuppressed","85·2% (0‒0%)"
2011,"propsuppressed","87·1% (0‒0%)"
2012,"propsuppressed","89·7% (0‒0%)"
2013,"propsuppressed","92·7% (0‒0%)"
2014,"propsuppressed","93·4% (0‒0%)"
2015,"propsuppressed","94·8% (0‒0%)"
2016,"propsuppressed","94·9% (0‒0%)"
