"year","stage","value","lower","upper"
2007,"ydf",0.2593717781055486,0.24867026663671832,0.2676046516961571
2008,"ydf",0.23093126642324333,0.22208061847364485,0.23938604530283025
2009,"ydf",0.25994886938413475,0.25243681195209317,0.2711374963702146
2010,"ydf",0.2598997264291337,0.25247877989041595,0.27156360088438747
2011,"ydf",0.2671463923615477,0.26034776018026634,0.2782583761003711
2012,"ydf",0.2896629934186468,0.279926121704984,0.30285841108618655
2013,"ydf",0.26861215906883235,0.2583108069721071,0.28289811120631114
2014,"ydf",0.3132719676035645,0.3019642282451821,0.3293068584850428
2015,"ydf",0.30774718380376415,0.29835736280221054,0.3226843107864773
2016,"ydf",0.30770373480727586,0.298831806915881,0.32048742836528726
2017,"ydf",0.29541086068830263,0.2854482994447054,0.30837546967065876
2018,"ydf",0.2703238259181919,0.26035666277173614,0.2817972418283291
2019,"ydf",0.2766472888202776,0.26538844208077117,0.28967643977063073
2020,"ydf",0.20391782912172507,0.1923719872843906,0.2168567111062324
2021,"ydf",0.17507845708506348,0.1614543260758152,0.19025815547885724
2022,"ydf",0.1729120257165874,0.1523789606427099,0.1933793601198235
2023,"ydf",0.2407906539499341,0.20226325468875375,0.28845558564644047
2004,"cdr",0.9414591761701004,0.9143442420268117,0.9719993303885295
2005,"cdr",1.0302443661063505,1.006762416709047,1.0612440721005936
2006,"cdr",1.0078098862260998,0.9841789827800722,1.0384014813287799
2007,"cdr",0.9751035874356686,0.9525807115497895,1.0058609915042245
2008,"cdr",0.8204650454624116,0.7995473614932722,0.8487131398252378
2009,"cdr",0.9505577621231861,0.9233861434094406,0.9849150102039985
2010,"cdr",0.9429276807822756,0.9139769631842278,0.9777819406191571
2011,"cdr",0.9732822909778173,0.9426462196824258,1.0076990861945694
2012,"cdr",1.0918734870359046,1.0560107447765348,1.1311288198753051
2013,"cdr",0.9910559420090791,0.9595650035963427,1.0253243675807977
2014,"cdr",1.258720893111806,1.214663795176846,1.3050077564106353
2015,"cdr",1.2696157213662054,1.2244514349397626,1.3140396760245092
2016,"cdr",1.3309507848710513,1.284397374561418,1.375357204479526
2017,"cdr",1.3255082077769642,1.2755130122752345,1.3773491559464113
2018,"cdr",1.245471782438849,1.1694913811084833,1.3325965192772806
2019,"cdr",1.386739118362657,1.2521712435045742,1.4942382057525336
2020,"cdr",1.0334461814288707,0.8941184567632873,1.1742722168486557
2021,"cdr",1.0011940356581692,0.8257748698022566,1.2354380432328997
2022,"cdr",1.1361218340789405,0.8772514490241092,1.6014829515628808
2023,"cdr",1.9051873780947388,1.3379530342130117,3.470841478447934
