"indicator","breakpoints","breakpoints_low","breakpoints_up","rate_ratio","rate_ratio_low","rate_ratio_up","valueStart","valueStart_low","valueStart_up","valueEnd","valueEnd_low","valueEnd_up"
"Annual new infections",2019.48,2019.32,2019.64,0.95331680633391,0.9513274061774073,0.9553103666911564,0,0,0,0,0,0
"Annual new infections",0,0,0,0.8521182250360032,0.8467413524271014,0.8575206659493242,0,0,0,0,0,0
"Percentage diagnosed",2014.49,2013.42,2015.55,1.0065089920128225,1.0060156216136757,1.0070026043707876,0.8361080479099138,0,0,0.9156842292156435,0,0
"Percentage diagnosed",0,0,0,1.0022937265751375,1.0017405129373722,1.0028471454417616,0,0,0,0,0,0
"Percentage diagnosed treated",2009.04,2008.71,2009.37,1.0220230036581788,1.019660776578509,1.0243907032605777,0.5550768114632822,0,0,0.9824496451954425,0,0
"Percentage diagnosed treated",2014.4,2014.2,2014.61,1.060672350532063,1.057894910444138,1.063458146081152,0,0,0,0,0,0
"Percentage diagnosed treated",0,0,0,1.0124356880440302,1.0114712964389132,1.0134009991524207,0,0,0,0,0,0
"Percentage treated suppressed",2009.51,2009.18,2009.83,1.0637814865028146,1.0594924789262685,1.0680867886315637,0.6052631578947362,0,0,0.9760348583877999,0,0
"Percentage treated suppressed",0,0,0,1.0097607281848573,1.0087650904055823,1.0107574497211693,0,0,0,0,0,0
"Percentage suppressed overall",2014.48,2014.25,2014.71,1.0903023030101964,1.088572276957259,1.092035078527002,0.28090516719132486,0,0,0.8780542776788219,0,0
"Percentage suppressed overall",0,0,0,1.0188148092589522,1.0167670146349288,1.020866728193424,0,0,0,0,0,0
"Yearly diagnosed fraction",2016,2014.26,2017.74,1.0184318068996265,1.008063939821471,1.028905895202712,0.2454005529273209,0.2330325383455223,0.256590329372751,0.2407906539499341,0.20226325468875375,0.28845558564644047
"Yearly diagnosed fraction",0,0,0,0.935125999452379,0.9106524120760756,0.960257309216635,0,0,0,0,0,0
"Case detection rate",2008.04,2007.06,2009.01,0.9675762943286786,0.9479713487702744,0.9875876763212654,0.9414591761701004,0.9143442420268117,0.9719993303885295,1.9051873780947388,1.3379530342130117,3.470841478447934
"Case detection rate",2018.65,2018.21,2019.1,1.0440642189783451,1.0367958044771515,1.0513835884015523,0,0,0,0,0,0
"Case detection rate",2021.51,2021.28,2021.74,0.8482753421168717,0.808665435995205,0.8898343118924916,0,0,0,0,0,0
"Case detection rate",0,0,0,1.6777942763124132,1.5220985383227688,1.8494346540833748,0,0,0,0,0,0
"Incidence prevalence ratio",2012.38,2012.16,2012.6,0.9704571789647831,0.9692167576514114,0.9716982160933114,0.05929780156110975,0.05349445387090499,0.06552047189501223,0.014183139581997404,0.006559476529281984,0.023231345003096197
"Incidence prevalence ratio",2019.49,2019.31,2019.68,0.921810138653479,0.9199794004545506,0.9236454436249977,0,0,0,0,0,0
"Incidence prevalence ratio",0,0,0,0.8420465341967586,0.8369926415407039,0.8471309430481909,0,0,0,0,0,0
"Incidence mortality ratio",2015,2013.35,2016.65,1.0066455845506328,0.9829804963282645,1.030880199569939,7.41991245404597,4.874708965143391,11.431218421050193,1.3612170099598175,0.5375015387203307,2.800355638963424
"Incidence mortality ratio",0,0,0,0.843293685731859,0.8068802587291166,0.8813504019980821,0,0,0,0,0,0
