stage,year,population,value,lower,upper
numART,2014,all,17938.816449348,17056.8164726594,18824.9268641522
numART,2015,all,19189.408224674,18275.6451725885,20107.4224892638
numART,2016,all,20440,19495.3913616594,21388.9961255321
suppressed,2003,all,3528.54475918935,2201.69412082293,5064.70950146003
suppressed,2004,all,4522.29695447559,2893.61453032282,6404.78656015187
suppressed,2005,all,5258.98827280428,3302.30459007706,7040.88746911483
suppressed,2006,all,6789.93044881579,4205.42638731586,8539.86813273401
suppressed,2007,all,7581.54024776518,4970.87988337583,9593.32566097744
suppressed,2008,all,8095.28585757272,5782.69808273336,10562.6135982406
suppressed,2009,all,9001.89552025174,6776.07748226948,11674.0780738355
suppressed,2010,all,10473.6246475275,7843.71080814947,12704.828835243
suppressed,2011,all,10889.4229849793,9045.20320155324,13741.6700446528
suppressed,2012,all,12838.7881790978,10665.7882508292,15150.7927583096
suppressed,2013,all,14754.5130192652,13892.7687626195,15631.4952553147
suppressed,2014,all,16278.764810157,15367.9393742495,17204.7690831717
suppressed,2015,all,17517.1956929328,16566.2640985688,18483.7145734526
suppressed,2016,all,19013.1539108495,18019.206669573,20022.3794658425
