year,pldhiv,pldhiv_lower,pldhiv_upper,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pnumber,pnumber_lower,pnumber_upper,undiag,undiag_lower,undiag_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,uplower,upupper
1994,9936.080438709012,9482.068084598634,10407.92082532155,2813.808822,2647.844571,2947.329736,29.18479,27.427632,30.601616,4094.9171940156702,3583.6046306676417,4589.432463656403,3454.363008007835,2647.844571,4589.432463656403,13390.443446716847,12129.912655598633,14997.353288977953,25.797226370832384,21.8290489484924,30.601616
1995,9837.55210922407,9339.860326083008,10357.292137595967,2561.10646,2424.515504,2692.152285,27.144118,25.595945,28.484581,3665.2040707423894,3213.0312146845044,4125.307953995423,3113.1552653711947,2424.515504,4125.307953995423,12950.707374595266,11764.375830083009,14482.60009159139,24.038495931721155,20.60895995689125,28.484580999999995
1996,9832.53290545803,9292.156893468282,10399.058039492447,2377.070797,2264.364834,2501.422006,25.319991,23.973543,26.636275,3333.6852526812254,2930.1105383394133,3775.6012209151304,2855.378024840613,2264.364834,3775.6012209151304,12687.910930298644,11556.521727468282,14174.659260407578,22.504713664264383,19.593826649569763,26.636275000000012
1997,9843.331317460286,9262.345117977957,10454.32732001091,2253.63817,2164.679007,2377.509367,23.285766,21.989917,24.524543,2987.8354741683524,2610.9214672889193,3396.966511851426,2620.7368220841763,2164.679007,3396.966511851426,12464.068139544463,11427.024124977957,13851.293831862336,21.026335805798627,18.943506054811763,24.524542999999994
1998,10130.035706926215,9513.8066213413,10779.57790415239,2183.638887,2092.721321,2312.255505,21.652669,20.558316,22.807401,2799.614324070011,2462.030423277869,3184.944658629038,2491.6266055350056,2092.721321,3184.944658629038,12621.662312461222,11606.527942341301,13964.522562781427,19.740875202112257,18.030554282867218,22.80740100000001
1999,10549.8505287968,9898.239163994893,11238.196734920222,2160.556498,2051.996386,2296.348486,20.492622,19.469989,21.670582,2719.1702767903244,2393.1277948335282,3109.154518117586,2439.863387395162,2051.996386,3109.154518117586,12989.713916191962,11950.235549994894,14347.351253037808,18.78304174469785,17.171179408265946,21.670582000000003
2e3,10950.786778158827,10259.754144683588,11682.441439964723,2170.791324,2048.404498,2306.582302,19.679809,18.728217,20.826062,2683.1284825242874,2364.2510954667214,3072.9714333531647,2426.9599032621436,2048.404498,3072.9714333531647,13377.74668142097,12308.158642683587,14755.412873317888,18.141769021779343,16.642655960708186,20.826061999999997
2001,11388.591488225436,10654.866598805585,12167.502384154675,2204.635986,2078.231517,2340.972422,19.038716,18.063239,20.115165,2678.1215449144984,2348.9017571410022,3063.8020106715467,2441.378765457249,2078.231517,3063.8020106715467,13829.970253682684,12733.098115805586,15231.304394826222,17.652812845401108,16.321491424151464,20.115165
2002,11958.160730638023,11177.898677628562,12788.649699148871,2259.665682,2132.487379,2389.642911,18.523329,17.560022,19.450169,2718.630286803058,2380.934001376474,3088.0436972021034,2489.147984401529,2132.487379,3088.0436972021034,14447.308715039551,13310.386056628562,15876.693396350975,17.22914650401526,16.02122860995473,19.450168999999992
2003,12513.910468381648,11682.768167536784,13400.625913286416,2331.723592,2215.064899,2455.202972,18.100123,17.233829,18.868009,2765.612440281144,2432.62224666612,3116.4418279531837,2548.668016140572,2215.064899,3116.4418279531837,15062.578484522219,13897.833066536783,16517.0677412396,16.920529368590476,15.938203375988415,18.868008999999997
2004,13158.12208562686,12272.427806152707,14105.479824679094,2415.683657,2308.596161,2538.945002,17.619278,16.881992,18.365053,2814.2095062555964,2492.637071427982,3173.2474153583044,2614.946581627798,2308.596161,3173.2474153583044,15773.068667254658,14581.023967152707,17278.7272400374,16.578553208587127,15.832880915638523,18.365052999999993
2005,13907.81975234278,12909.18957831503,14958.909942088121,2505.947445,2405.79027,2628.498939,17.234687,16.439045,17.975396,2896.103592141859,2539.6400554715037,3278.191138080605,2701.0255185709293,2405.79027,3278.191138080605,16608.84527091371,15314.97984831503,18237.101080168726,16.262572590167412,15.708739376922443,17.975395999999996
2006,14711.801215554158,13589.6929389861,15879.082487539656,2596.781844,2477.402645,2714.371463,16.864139,16.051448,17.615946,2984.294113938078,2598.427779267742,3395.378669154159,2790.537978969039,2477.402645,3395.378669154159,17502.339194523196,16067.0955839861,19274.461156693815,15.94380012839798,15.419106907344228,17.615946000000008
2007,15487.216056217205,14232.259138727226,16781.883412243435,2682.534184,2554.186693,2817.04562,16.449977,15.608746,17.299823,3049.2433008522803,2632.3547449901853,3510.556121765585,2865.88874242614,2554.186693,3510.556121765585,18353.104798643344,16786.445831727226,20292.43953400902,15.615280214811316,15.215768237088396,17.299822999999996
2008,16133.737996049731,14741.90121206317,17561.326559103145,2746.692606,2604.987843,2896.310977,15.901063,15.114385,16.753432,3050.4973481493653,2624.882561681261,3534.2296674348,2898.594977074683,2604.987843,3534.2296674348,19032.332973124416,17346.88905506317,21095.556226537945,15.229845868963059,15.017031784380164,16.753431999999997
2009,16985.363990379457,15458.045763472806,18545.287468308277,2785.898759,2643.246587,2937.057521,15.220643,14.414768,15.960094,3049.4234760782747,2603.5349581554383,3521.9521931785857,2917.661117539137,2603.5349581554383,3521.9521931785857,19903.025107918595,18061.580721628245,22067.239661486863,14.659385202595757,14.414768000000006,15.960094000000003
2010,17888.90844462632,16221.22050779016,19585.23947061886,2809.118172,2675.420633,2957.783714,14.562141,13.764404,15.270402,3049.009071104403,2589.133058723324,3529.752141425448,2929.0636215522018,2589.133058723324,3529.752141425448,20817.97206617852,18810.353566513484,23114.99161204431,14.069879680119483,13.764403999999997,15.270402000000006
2011,18774.830781987894,16954.56450812212,20624.73443221451,2820.371155,2679.583224,2990.186502,13.880258,13.116145,14.579961,3026.0134216418555,2559.4919389843308,3520.34285136588,2923.1922883209277,2559.4919389843308,3520.34285136588,21698.02307030882,19514.05644710645,24145.07728358039,13.472159555037855,13.116145000000001,14.579960999999999
2012,19745.411302206332,17772.10394503568,21749.175597006557,2821.555403,2674.324143,2997.128162,13.198198,12.476408,13.917435,3002.2861502109918,2533.3971649229716,3516.3071369321406,2911.920776605496,2533.3971649229716,3516.3071369321406,22657.33207881183,20305.50110995865,25265.482733938697,12.852002020699517,12.476408000000008,13.917434999999998
2013,20650.871211212696,18521.793843801064,22811.12732470436,2814.10572,2641.3775,2988.099659,12.523448,11.783683,13.258517,2956.4506814159686,2474.0881808373742,3486.7021978833036,2885.278200707984,2474.0881808373742,3486.7021978833036,23536.14941192068,20995.88202463844,26297.829522587665,12.25892201060993,11.783682999999995,13.258516999999998
2014,21665.19629715877,19379.321549085544,23982.08431187434,2799.590472,2619.906666,3005.638188,11.921587,11.161056,12.723346,2932.4270696005406,2434.6720403537292,3496.150946634014,2866.00877080027,2434.6720403537292,3496.150946634014,24531.20506795904,21813.993589439273,27478.235258508354,11.683114477501361,11.16105600000001,12.723346000000005
2015,22576.61453182507,20125.82736687441,25060.61699370206,2779.782084,2581.424209,3037.523731,11.296801,10.490102,12.341235,2875.2460395451562,2358.643978266002,3528.214931664512,2827.5140617725783,2358.643978266002,3528.214931664512,25404.12859359765,22484.471345140413,28588.831925366572,11.1301359987808,10.490102000000002,12.341234999999994
2016,23647.715703261198,21034.53037770606,26290.655684128815,2756.574971,2518.609646,3103.783847,10.70706,9.819511,11.867388,2835.5826440226956,2290.3934622013294,3540.1357647037876,2796.078807511348,2290.3934622013294,3540.1357647037876,26443.794510772546,23324.92383990739,29830.791448832602,10.573667127734995,9.819511000000004,11.867388000000005
